Repository,Destination,Reason
activity_feed,archive/,Archived due to low score or duplication
ad_agent,archive/,Archived due to low score or duplication
agent_1,archive/,Archived due to low score or duplication
agent_trace,archive/,Archived due to low score or duplication
agent_trace_test,archive/,Archived due to low score or duplication
app_3,archive/,Archived due to low score or duplication
attach,archive/,Archived due to low score or duplication
attach_test,archive/,Archived due to low score or duplication
audit,archive/,Archived due to low score or duplication
audit-logger,archive/,Archived due to low score or duplication
audit-session,archive/,Archived due to low score or duplication
base-agent,archive/,Archived due to low score or duplication
base_1,archive/,Archived due to low score or duplication
base_tool,archive/,Archived due to low score or duplication
batch_task,archive/,Archived due to low score or duplication
batch_task_manager,archive/,Archived due to low score or duplication
batch_task_mcp,archive/,Archived due to low score or duplication
beacongo,archive/,Archived due to low score or duplication
bug,archive/,Archived due to low score or duplication
BurpExtender,archive/,Archived due to low score or duplication
BurpExtender1,archive/,Archived due to low score or duplication
c2_hitl_bridge,archive/,Archived due to low score or duplication
CLAUDE,archive/,Archived due to low score or duplication
claude_reasoning_roundtrip,archive/,Archived due to low score or duplication
claude_reasoning_roundtrip_test,archive/,Archived due to low score or duplication
cleanup-rollback,archive/,Archived due to low score or duplication
client,archive/,Archived due to low score or duplication
cmdi-agent,archive/,Archived due to low score or duplication
config,archive/,Archived due to low score or duplication
config_3,archive/,Archived due to low score or duplication
content,archive/,Archived due to low score or duplication
controller,archive/,Archived due to low score or duplication
corpus,archive/,Archived due to low score or duplication
cost,archive/,Archived due to low score or duplication
createdFiles,archive/,Archived due to low score or duplication
CTF,archive/,Archived due to low score or duplication
cyberstrikeai-burp-extension-100,archive/,Archived due to low score or duplication
CyberStrikeAIClientConfig,archive/,Archived due to low score or duplication
CyberStrikeAITabTestRun,archive/,Archived due to low score or duplication
CyberStrikeAITabTestRunCellRenderer,archive/,Archived due to low score or duplication
dashboard,archive/,Archived due to low score or duplication
default,archive/,Archived due to low score or duplication
default_1,archive/,Archived due to low score or duplication
dependency_graph,archive/,Archived due to low score or duplication
detector,archive/,Archived due to low score or duplication
development,archive/,Archived due to low score or duplication
eino_checkpoint,archive/,Archived due to low score or duplication
eino_execute_monitor,archive/,Archived due to low score or duplication
eino_execute_streaming_wrap,archive/,Archived due to low score or duplication
