Repository,Reason,Replacement
activity_feed,Duplicate/Lower score,utils
app_3,Duplicate/Lower score,utils
attach,Duplicate/Lower score,utils
attach_test,Duplicate/Lower score,utils
audit,Duplicate/Lower score,utils
audit-logger,Duplicate/Lower score,utils
audit-session,Duplicate/Lower score,utils
base_1,Duplicate/Lower score,utils
base_tool,Duplicate/Lower score,utils
batch_task,Duplicate/Lower score,utils
batch_task_manager,Duplicate/Lower score,utils
batch_task_mcp,Duplicate/Lower score,utils
beacongo,Duplicate/Lower score,utils
bug,Duplicate/Lower score,utils
BurpExtender,Duplicate/Lower score,utils
BurpExtender1,Duplicate/Lower score,utils
c2_hitl_bridge,Duplicate/Lower score,utils
CLAUDE,Duplicate/Lower score,utils
claude_reasoning_roundtrip,Duplicate/Lower score,utils
claude_reasoning_roundtrip_test,Duplicate/Lower score,utils
cleanup-rollback,Duplicate/Lower score,utils
client,Duplicate/Lower score,utils
config_3,Duplicate/Lower score,utils
content,Duplicate/Lower score,utils
controller,Duplicate/Lower score,utils
corpus,Duplicate/Lower score,utils
cost,Duplicate/Lower score,utils
createdFiles,Duplicate/Lower score,utils
CTF,Duplicate/Lower score,utils
dashboard,Duplicate/Lower score,utils
default,Duplicate/Lower score,utils
default_1,Duplicate/Lower score,utils
dependency_graph,Duplicate/Lower score,utils
detector,Duplicate/Lower score,utils
development,Duplicate/Lower score,utils
eino_execute_monitor,Duplicate/Lower score,utils
eino_execute_streaming_wrap,Duplicate/Lower score,utils
eino_exit_fallback_test,Duplicate/Lower score,utils
eino_filesystem_tool_monitor,Duplicate/Lower score,utils
eino_input_telemetry,Duplicate/Lower score,utils
eino_middleware,Duplicate/Lower score,utils
eino_middleware_test,Duplicate/Lower score,utils
eino_model_facing_trace,Duplicate/Lower score,utils
eino_model_rewrite_pipeline,Duplicate/Lower score,utils
eino_orchestration,Duplicate/Lower score,utils
eino_resume_segment,Duplicate/Lower score,utils
eino_skills,Duplicate/Lower score,utils
eino_sse_sanitizer,Duplicate/Lower score,utils
eino_sse_sanitizer_test,Duplicate/Lower score,utils
eino_summarize,Duplicate/Lower score,utils
eino_summarize_test,Duplicate/Lower score,utils
engagement-planning,Duplicate/Lower score,utils
EQBSL-Primer,Duplicate/Lower score,utils
events,Duplicate/Lower score,utils
events_1,Duplicate/Lower score,utils
EvidenceCommand,Duplicate/Lower score,utils
eyewitness,Duplicate/Lower score,utils
feature,Duplicate/Lower score,utils
feature_2,Duplicate/Lower score,utils
formatting,Duplicate/Lower score,utils
frontmatter,Duplicate/Lower score,utils
generate-totp,Duplicate/Lower score,utils
git-manager,Duplicate/Lower score,utils
group,Duplicate/Lower score,utils
hitl_context,Duplicate/Lower score,utils
hitl_middleware,Duplicate/Lower score,utils
holder,Duplicate/Lower score,utils
HttpMessageFormatter,Duplicate/Lower score,utils
impact-exfiltration,Duplicate/Lower score,utils
index,Duplicate/Lower score,utils
index_12,Duplicate/Lower score,utils
index_3,Duplicate/Lower score,utils
index_4,Duplicate/Lower score,utils
index_9,Duplicate/Lower score,utils
install_preferences,Duplicate/Lower score,utils
interrupt,Duplicate/Lower score,utils
lateral-movement,Duplicate/Lower score,utils
layout,Duplicate/Lower score,utils
listener_tcp,Duplicate/Lower score,utils
log-stream,Duplicate/Lower score,utils
logger,Duplicate/Lower score,utils
logger_1,Duplicate/Lower score,utils
login-instructions,Duplicate/Lower score,utils
login-instructions_1,Duplicate/Lower score,utils
logo,Duplicate/Lower score,utils
markdown_orchestrator_test,Duplicate/Lower score,utils
mcp_tools,Duplicate/Lower score,utils
memory,Duplicate/Lower score,utils
metrics,Duplicate/Lower score,utils
models,Duplicate/Lower score,utils
model_manager,Duplicate/Lower score,utils
navigator,Duplicate/Lower score,utils
normalize_streaming_delta_test,Duplicate/Lower score,utils
normalize_streaming_eof_test,Duplicate/Lower score,utils
opsec-evasion,Duplicate/Lower score,utils
orchestratortest,Duplicate/Lower score,utils
orchestrator_instruction,Duplicate/Lower score,utils
orphan_tool_pruner_middleware_test,Duplicate/Lower score,utils
otel,Duplicate/Lower score,utils
package-lock_1,Duplicate/Lower score,utils
package_2,Duplicate/Lower score,utils
package_4,Duplicate/Lower score,utils
paths_1,Duplicate/Lower score,utils
payload_builder,Duplicate/Lower score,utils
PentestGPT_design,Duplicate/Lower score,utils
plan_execute_executor,Duplicate/Lower score,utils
plan_execute_steps_cap,Duplicate/Lower score,utils
plan_execute_steps_cap_test,Duplicate/Lower score,utils
plan_execute_text,Duplicate/Lower score,utils
plan_execute_text_test,Duplicate/Lower score,utils
plugin_3,Duplicate/Lower score,utils
plugin_center,Duplicate/Lower score,utils
pnpm-workspace,Duplicate/Lower score,utils
pre-commit-config,Duplicate/Lower score,utils
pre-recon-code_3,Duplicate/Lower score,utils
privilege-escalation,Duplicate/Lower score,utils
production,Duplicate/Lower score,utils
progress-manager,Duplicate/Lower score,utils
prompt-manager,Duplicate/Lower score,utils
prompts,Duplicate/Lower score,utils
prompt_select,Duplicate/Lower score,utils
README_14,Duplicate/Lower score,utils
README_34,Duplicate/Lower score,utils
README_35,Duplicate/Lower score,utils
README_40,Duplicate/Lower score,utils
reasoning_trace,Duplicate/Lower score,utils
reasoning_trace_test,Duplicate/Lower score,utils
reconftw_prox_deploy,Duplicate/Lower score,utils
recon_3,Duplicate/Lower score,utils
registry_4,Duplicate/Lower score,utils
registry_8,Duplicate/Lower score,utils
registry_bridge,Duplicate/Lower score,utils
report-output-provider,Duplicate/Lower score,utils
reporting-remediation,Duplicate/Lower score,utils
result,Duplicate/Lower score,utils
role,Duplicate/Lower score,utils
router,Duplicate/Lower score,utils
runner_reasoning_history_test,Duplicate/Lower score,utils
run_context,Duplicate/Lower score,utils
save-deliverable,Duplicate/Lower score,utils
service_1,Duplicate/Lower score,utils
settings_3,Duplicate/Lower score,utils
settings_4,Duplicate/Lower score,utils
skills,Duplicate/Lower score,utils
splash,Duplicate/Lower score,utils
sse_stream,Duplicate/Lower score,utils
styles,Duplicate/Lower score,utils
summary-mapper,Duplicate/Lower score,utils
task_handler,Duplicate/Lower score,utils
task_manager,Duplicate/Lower score,utils
task_processor,Duplicate/Lower score,utils
task_tree_manager,Duplicate/Lower score,utils
test-multibar,Duplicate/Lower score,utils
test_async_prompt,Duplicate/Lower score,utils
test_backend_interface,Duplicate/Lower score,utils
test_controller,Duplicate/Lower score,utils
test_cost_tracker,Duplicate/Lower score,utils
test_events,Duplicate/Lower score,utils
test_install_planner,Duplicate/Lower score,utils
test_integration,Duplicate/Lower score,utils
test_langfuse,Duplicate/Lower score,utils
test_mcp_auth_session_reuse,Duplicate/Lower score,utils
test_mcp_client_and_hitl,Duplicate/Lower score,utils
test_mcp_server,Duplicate/Lower score,utils
test_output_parser,Duplicate/Lower score,utils
test_playbook,Duplicate/Lower score,utils
test_stage2_integration,Duplicate/Lower score,utils
test_trigger_system,Duplicate/Lower score,utils
tmux_manager,Duplicate/Lower score,utils
tool_error_middleware,Duplicate/Lower score,utils
tool_error_middleware_test,Duplicate/Lower score,utils
tool_invoke_notify,Duplicate/Lower score,utils
tracer,Duplicate/Lower score,utils
trigger_system,Duplicate/Lower score,utils
truncate_test,Duplicate/Lower score,utils
tsdownconfig,Duplicate/Lower score,utils
tui,Duplicate/Lower score,utils
types_7,Duplicate/Lower score,utils
validate,Duplicate/Lower score,utils
validate-authentication,Duplicate/Lower score,utils
validation-harness,Duplicate/Lower score,utils
wechat,Duplicate/Lower score,utils
workflow-logger,Duplicate/Lower score,utils
workflow_engine,Duplicate/Lower score,utils
_14,Duplicate/Lower score,utils
_rules_1,Duplicate/Lower score,utils
_target_1,Duplicate/Lower score,utils
__init___109,Duplicate/Lower score,utils
__init___11,Duplicate/Lower score,utils
__init___141,Duplicate/Lower score,utils
__init___144,Duplicate/Lower score,utils
__init___17,Duplicate/Lower score,utils
__init___202,Duplicate/Lower score,utils
__init___211,Duplicate/Lower score,utils
__init___29,Duplicate/Lower score,utils
__init___31,Duplicate/Lower score,utils
__init___50,Duplicate/Lower score,utils
__init___52,Duplicate/Lower score,utils
__init___6,Duplicate/Lower score,utils
__init___70,Duplicate/Lower score,utils
activities,Duplicate/Lower score,utils
anthropic_official,Duplicate/Lower score,utils
api,Duplicate/Lower score,utils
api-discovery,Duplicate/Lower score,utils
api-discoverytest,Duplicate/Lower score,utils
api-docs,Duplicate/Lower score,utils
api-schema-analyzer,Duplicate/Lower score,utils
apitest,Duplicate/Lower score,utils
api_authentication,Duplicate/Lower score,utils
api_pipeline,Duplicate/Lower score,utils
app,Duplicate/Lower score,utils
app_2,Duplicate/Lower score,utils
app_config,Duplicate/Lower score,utils
asvs-mapper,Duplicate/Lower score,utils
async_prompt,Duplicate/Lower score,utils
audit_1,Duplicate/Lower score,utils
aup_consent,Duplicate/Lower score,utils
auth,Duplicate/Lower score,utils
auth_analyzer,Duplicate/Lower score,utils
auth_cache,Duplicate/Lower score,utils
backend,Duplicate/Lower score,utils
banner_analyzer,Duplicate/Lower score,utils
billing-detection,Duplicate/Lower score,utils
build,Duplicate/Lower score,utils
build-mvn,Duplicate/Lower score,utils
burp_client,Duplicate/Lower score,utils
burp_commands,Duplicate/Lower score,utils
c2_lifecycle,Duplicate/Lower score,utils
c2_tools,Duplicate/Lower score,utils
captcha_replay,Duplicate/Lower score,utils
chat-files,Duplicate/Lower score,utils
chatgpt,Duplicate/Lower score,utils
chatgpt_api,Duplicate/Lower score,utils
chatgpt_config_sample,Duplicate/Lower score,utils
chat_config,Duplicate/Lower score,utils
citations,Duplicate/Lower score,utils
claude_bridge,Duplicate/Lower score,utils
CODE_OF_CONDUCT,Duplicate/Lower score,utils
config-loader,Duplicate/Lower score,utils
config_5,Duplicate/Lower score,utils
config_6,Duplicate/Lower score,utils
conftest,Duplicate/Lower score,utils
constants,Duplicate/Lower score,utils
content_fingerprint,Duplicate/Lower score,utils
CONTRIBUTING_2,Duplicate/Lower score,utils
CONTRIBUTING_3,Duplicate/Lower score,utils
CONTRIBUTING_4,Duplicate/Lower score,utils
conversation,Duplicate/Lower score,utils
cors_reflection,Duplicate/Lower score,utils
cortex,Duplicate/Lower score,utils
coupon_forging,Duplicate/Lower score,utils
credential_detector,Duplicate/Lower score,utils
cve_db,Duplicate/Lower score,utils
cve_poc_primitives,Duplicate/Lower score,utils
cvss-calculator,Duplicate/Lower score,utils
dark-matter,Duplicate/Lower score,utils
dark-mattertest,Duplicate/Lower score,utils
dashboard_2,Duplicate/Lower score,utils
DATA-PRIVACY,Duplicate/Lower score,utils
datasrcs,Duplicate/Lower score,utils
debug,Duplicate/Lower score,utils
DECISION,Duplicate/Lower score,utils
deepseek,Duplicate/Lower score,utils
deepseek_api,Duplicate/Lower score,utils
default_single_system_prompt,Duplicate/Lower score,utils
DEPLOYMENT,Duplicate/Lower score,utils
deserialization,Duplicate/Lower score,utils
doc_3,Duplicate/Lower score,utils
DPA,Duplicate/Lower score,utils
eino,Duplicate/Lower score,utils
eino_single_runner,Duplicate/Lower score,utils
eino_test,Duplicate/Lower score,utils
eino_transient_retry,Duplicate/Lower score,utils
eino_transient_retry_test,Duplicate/Lower score,utils
embedding,Duplicate/Lower score,utils
endpoint_classifier,Duplicate/Lower score,utils
engineapi_test,Duplicate/Lower score,utils
envexpand_test,Duplicate/Lower score,utils
env_2,Duplicate/Lower score,utils
env_4,Duplicate/Lower score,utils
error-handling,Duplicate/Lower score,utils
ErrorPatternAnalyzertest,Duplicate/Lower score,utils
errors,Duplicate/Lower score,utils
evidence,Duplicate/Lower score,utils
executor_2,Duplicate/Lower score,utils
express-scaffold,Duplicate/Lower score,utils
external_mcp_test,Duplicate/Lower score,utils
extract_cookie,Duplicate/Lower score,utils
facebook,Duplicate/Lower score,utils
feature-collector,Duplicate/Lower score,utils
forced_error,Duplicate/Lower score,utils
frontend-i18n,Duplicate/Lower score,utils
gemini,Duplicate/Lower score,utils
gemini_api,Duplicate/Lower score,utils
getting-started,Duplicate/Lower score,utils
gpt4all_api,Duplicate/Lower score,utils
graphql,Duplicate/Lower score,utils
graphql_introspection,Duplicate/Lower score,utils
graphql_tool,Duplicate/Lower score,utils
hackertarget,Duplicate/Lower score,utils
harness,Duplicate/Lower score,utils
hidden_discovery,Duplicate/Lower score,utils
hitl,Duplicate/Lower score,utils
host_header_reset_poisoning,Duplicate/Lower score,utils
HTTPMethodAnalyzertest,Duplicate/Lower score,utils
http_extractor,Duplicate/Lower score,utils
idor_authenticated,Duplicate/Lower score,utils
idor_authz_differential,Duplicate/Lower score,utils
indexer,Duplicate/Lower score,utils
index_1,Duplicate/Lower score,utils
index_13,Duplicate/Lower score,utils
index_17,Duplicate/Lower score,utils
inference,Duplicate/Lower score,utils
inferencetest,Duplicate/Lower score,utils
install-git-hooks,Duplicate/Lower score,utils
INSTALL_2,Duplicate/Lower score,utils
jina,Duplicate/Lower score,utils
js-analysis,Duplicate/Lower score,utils
juiceshop,Duplicate/Lower score,utils
jwt_jku_x5u_ssrf,Duplicate/Lower score,utils
knowledge,Duplicate/Lower score,utils
knowledgejs,Duplicate/Lower score,utils
knowledge_base,Duplicate/Lower score,utils
langfuse,Duplicate/Lower score,utils
lark,Duplicate/Lower score,utils
ldap_injection,Duplicate/Lower score,utils
legacy,Duplicate/Lower score,utils
LICENSE,Duplicate/Lower score,utils
LICENSE_1,Duplicate/Lower score,utils
LICENSE_10,Duplicate/Lower score,utils
LICENSE_12,Duplicate/Lower score,utils
LICENSE_13,Duplicate/Lower score,utils
LICENSE_2,Duplicate/Lower score,utils
LICENSE_4,Duplicate/Lower score,utils
LICENSE_6,Duplicate/Lower score,utils
LICENSE_7,Duplicate/Lower score,utils
LICENSE_9,Duplicate/Lower score,utils
llm,Duplicate/Lower score,utils
llm-analysis,Duplicate/Lower score,utils
llm-client,Duplicate/Lower score,utils
llm-clienttest,Duplicate/Lower score,utils
llm-clienttest_1,Duplicate/Lower score,utils
llm-client_1,Duplicate/Lower score,utils
llm_api,Duplicate/Lower score,utils
loader_1,Duplicate/Lower score,utils
LOCAL-SETUP,Duplicate/Lower score,utils
manager_2,Duplicate/Lower score,utils
markdown,Duplicate/Lower score,utils
MarkdownRenderer,Duplicate/Lower score,utils
mass_assignment,Duplicate/Lower score,utils
mcp_client,Duplicate/Lower score,utils
mcp_manager,Duplicate/Lower score,utils
mcp_setup,Duplicate/Lower score,utils
memory_compressor,Duplicate/Lower score,utils
message-handlers,Duplicate/Lower score,utils
metrics-tracker,Duplicate/Lower score,utils
models_1,Duplicate/Lower score,utils
models_5,Duplicate/Lower score,utils
module_import,Duplicate/Lower score,utils
monitor,Duplicate/Lower score,utils
nikto_tool,Duplicate/Lower score,utils
nmap-irc,Duplicate/Lower score,utils
notifications,Duplicate/Lower score,utils
no_nested_task,Duplicate/Lower score,utils
ollama_api,Duplicate/Lower score,utils
openapi_i18n,Duplicate/Lower score,utils
openapi_parser,Duplicate/Lower score,utils
oracle-patator,Duplicate/Lower score,utils
orchestrator-plan-execute,Duplicate/Lower score,utils
orchestrator-supervisor,Duplicate/Lower score,utils
orphan_tool_pruner_middleware,Duplicate/Lower score,utils
osrframework,Duplicate/Lower score,utils
package_1,Duplicate/Lower score,utils
package_5,Duplicate/Lower score,utils
parameter_mapper,Duplicate/Lower score,utils
password_reset_weak,Duplicate/Lower score,utils
path_traversal,Duplicate/Lower score,utils
penetration,Duplicate/Lower score,utils
pentest_gpt,Duplicate/Lower score,utils
pentest_gpt_rebuilt,Duplicate/Lower score,utils
perplexity,Duplicate/Lower score,utils
persistencetest,Duplicate/Lower score,utils
playwright-config-writer,Duplicate/Lower score,utils
plugin_loader_1,Duplicate/Lower score,utils
pom,Duplicate/Lower score,utils
postman_parser,Duplicate/Lower score,utils
pre-recon-code_2,Duplicate/Lower score,utils
privilege_escalation_patch,Duplicate/Lower score,utils
project_manager,Duplicate/Lower score,utils
prototype_pollution,Duplicate/Lower score,utils
pyproject,Duplicate/Lower score,utils
quake_search,Duplicate/Lower score,utils
queue,Duplicate/Lower score,utils
race_condition,Duplicate/Lower score,utils
reactive-verifier,Duplicate/Lower score,utils
READMEzh-CN,Duplicate/Lower score,utils
README_10,Duplicate/Lower score,utils
README_11,Duplicate/Lower score,utils
README_13,Duplicate/Lower score,utils
README_15,Duplicate/Lower score,utils
README_32,Duplicate/Lower score,utils
README_33,Duplicate/Lower score,utils
README_38,Duplicate/Lower score,utils
README_50,Duplicate/Lower score,utils
README_54,Duplicate/Lower score,utils
README_55,Duplicate/Lower score,utils
README_CN_3,Duplicate/Lower score,utils
recon,Duplicate/Lower score,utils
reconx_engine,Duplicate/Lower score,utils
REFERENCE,Duplicate/Lower score,utils
reflected_xss,Duplicate/Lower score,utils
registry,Duplicate/Lower score,utils
release-pypi,Duplicate/Lower score,utils
replay,Duplicate/Lower score,utils
report-snippet,Duplicate/Lower score,utils
report_18,Duplicate/Lower score,utils
report_injector,Duplicate/Lower score,utils
report_injector_1,Duplicate/Lower score,utils
requirements_6,Duplicate/Lower score,utils
reset_juice_shop,Duplicate/Lower score,utils
retrieval_postprocess,Duplicate/Lower score,utils
retry,Duplicate/Lower score,utils
review,Duplicate/Lower score,utils
robot,Duplicate/Lower score,utils
robot_en,Duplicate/Lower score,utils
roles,Duplicate/Lower score,utils
route_correlator,Duplicate/Lower score,utils
RunCommand,Duplicate/Lower score,utils
runner,Duplicate/Lower score,utils
saml_xsw,Duplicate/Lower score,utils
sandbox,Duplicate/Lower score,utils
sanitize,Duplicate/Lower score,utils
schedulertest,Duplicate/Lower score,utils
scheduler_2,Duplicate/Lower score,utils
scope,Duplicate/Lower score,utils
search,Duplicate/Lower score,utils
SecurityHeaderAnalyzertest,Duplicate/Lower score,utils
server,Duplicate/Lower score,utils
service,Duplicate/Lower score,utils
services_commands,Duplicate/Lower score,utils
service_intelligence_view,Duplicate/Lower score,utils
settings,Duplicate/Lower score,utils
shared,Duplicate/Lower score,utils
sherlock,Duplicate/Lower score,utils
shodan_api,Duplicate/Lower score,utils
shodan_apicpython-313,Duplicate/Lower score,utils
shodan_search,Duplicate/Lower score,utils
