Capability,Tool,Status,Integrated,Working
AI,activity_feed,Metadata Only,No,No
AI,ad_agent,Metadata Only,No,No
AI,agent_1,Metadata Only,No,No
AI,agent_trace,Metadata Only,No,No
AI,agent_trace_test,Metadata Only,No,No
AI,app_3,Metadata Only,No,No
AI,attach,Metadata Only,No,No
AI,attach_test,Metadata Only,No,No
AI,audit,Metadata Only,No,No
AI,audit-logger,Metadata Only,No,No
AI,audit-session,Metadata Only,No,No
AI,base-agent,Metadata Only,No,No
AI,base_1,Metadata Only,No,No
AI,base_tool,Metadata Only,No,No
AI,batch_task,Metadata Only,No,No
AI,batch_task_manager,Metadata Only,No,No
AI,batch_task_mcp,Metadata Only,No,No
AI,beacongo,Metadata Only,No,No
AI,bug,Metadata Only,No,No
AI,BurpExtender,Metadata Only,No,No
AI,BurpExtender1,Metadata Only,No,No
AI,c2_hitl_bridge,Metadata Only,No,No
AI,CLAUDE,Metadata Only,No,No
AI,claude_reasoning_roundtrip,Metadata Only,No,No
AI,claude_reasoning_roundtrip_test,Metadata Only,No,No
AI,cleanup-rollback,Metadata Only,No,No
AI,client,Metadata Only,No,No
AI,cmdi-agent,Metadata Only,No,No
AI,config,Metadata Only,No,No
AI,config_3,Metadata Only,No,No
AI,content,Metadata Only,No,No
AI,controller,Metadata Only,No,No
AI,corpus,Metadata Only,No,No
AI,cost,Metadata Only,No,No
AI,createdFiles,Metadata Only,No,No
AI,CTF,Metadata Only,No,No
AI,cyberstrikeai-burp-extension-100,Metadata Only,No,No
AI,CyberStrikeAIClientConfig,Metadata Only,No,No
AI,CyberStrikeAITabTestRun,Metadata Only,No,No
AI,CyberStrikeAITabTestRunCellRenderer,Metadata Only,No,No
AI,dashboard,Metadata Only,No,No
AI,default,Metadata Only,No,No
AI,default_1,Metadata Only,No,No
AI,dependency_graph,Metadata Only,No,No
AI,detector,Metadata Only,No,No
AI,development,Metadata Only,No,No
AI,eino_checkpoint,Metadata Only,No,No
AI,eino_execute_monitor,Metadata Only,No,No
AI,eino_execute_streaming_wrap,Metadata Only,No,No
AI,eino_exit_fallback_test,Metadata Only,No,No
AI,eino_filesystem_tool_monitor,Metadata Only,No,No
AI,eino_input_telemetry,Metadata Only,No,No
AI,eino_middleware,Metadata Only,No,No
AI,eino_middleware_test,Metadata Only,No,No
AI,eino_model_facing_trace,Metadata Only,No,No
AI,eino_model_rewrite_pipeline,Metadata Only,No,No
AI,eino_orchestration,Metadata Only,No,No
AI,eino_resume_segment,Metadata Only,No,No
AI,eino_single_agent,Metadata Only,No,No
AI,eino_skills,Metadata Only,No,No
AI,eino_sse_sanitizer,Metadata Only,No,No
AI,eino_sse_sanitizer_test,Metadata Only,No,No
AI,eino_summarize,Metadata Only,No,No
AI,eino_summarize_test,Metadata Only,No,No
AI,engagement-planning,Metadata Only,No,No
AI,EQBSL-Primer,Metadata Only,No,No
AI,events,Metadata Only,No,No
AI,events_1,Metadata Only,No,No
AI,EvidenceCommand,Metadata Only,No,No
AI,eyewitness,Metadata Only,No,No
AI,feature,Metadata Only,No,No
AI,feature_2,Metadata Only,No,No
AI,formatting,Metadata Only,No,No
AI,frontmatter,Metadata Only,No,No
AI,generate-totp,Metadata Only,No,No
AI,git-manager,Metadata Only,No,No
AI,ground-truth-agent,Metadata Only,No,No
AI,group,Metadata Only,No,No
AI,hitl_context,Metadata Only,No,No
AI,hitl_middleware,Metadata Only,No,No
AI,holder,Metadata Only,No,No
Web Enumeration,HttpMessageFormatter,Metadata Only,No,No
AI,impact-exfiltration,Metadata Only,No,No
AI,index,Metadata Only,No,No
AI,index_12,Metadata Only,No,No
AI,index_3,Metadata Only,No,No
AI,index_4,Metadata Only,No,No
AI,index_9,Metadata Only,No,No
AI,install_preferences,Metadata Only,No,No
AI,interrupt,Metadata Only,No,No
AI,lateral-movement,Metadata Only,No,No
AI,layout,Metadata Only,No,No
AI,listener_tcp,Metadata Only,No,No
AI,log-stream,Metadata Only,No,No
AI,logger,Metadata Only,No,No
AI,logger_1,Metadata Only,No,No
AI,login-instructions,Metadata Only,No,No
AI,login-instructions_1,Metadata Only,No,No
AI,logo,Metadata Only,No,No
AI,main_12,Metadata Only,No,No
AI,main_3,Metadata Only,No,No
AI,main_8,Metadata Only,No,No
AI,markdown_orchestrator_test,Metadata Only,No,No
AI,mcp_pent_claude_agent,Metadata Only,No,No
AI,mcp_tools,Metadata Only,No,No
AI,memory,Metadata Only,No,No
AI,metrics,Metadata Only,No,No
AI,models,Metadata Only,No,No
AI,model_manager,Metadata Only,No,No
