Repository,Input Type,Output Type,Normalization Needed
activity_feed,Domain,Finding,Yes
ad_agent,Domain,Finding,Yes
agent_1,Domain,Finding,Yes
agent_trace,Domain,Finding,Yes
agent_trace_test,Domain,Finding,Yes
app_3,Domain,Finding,Yes
attach,Domain,Finding,Yes
attach_test,Domain,Finding,Yes
audit,Domain,Finding,Yes
audit-logger,Domain,Finding,Yes
audit-session,Domain,Finding,Yes
base-agent,Domain,Finding,Yes
base_1,Domain,Finding,Yes
base_tool,Domain,Finding,Yes
batch_task,Domain,Finding,Yes
batch_task_manager,Domain,Finding,Yes
batch_task_mcp,Domain,Finding,Yes
beacongo,Domain,Finding,Yes
bug,Domain,Finding,Yes
BurpExtender,Domain,Finding,Yes
BurpExtender1,Domain,Finding,Yes
c2_hitl_bridge,Domain,Finding,Yes
CLAUDE,Domain,Finding,Yes
claude_reasoning_roundtrip,Domain,Finding,Yes
claude_reasoning_roundtrip_test,Domain,Finding,Yes
cleanup-rollback,Domain,Finding,Yes
client,Domain,Finding,Yes
cmdi-agent,Domain,Finding,Yes
config,URL,Technology,Yes
config_3,Domain,Finding,Yes
content,Domain,Finding,Yes
controller,Domain,Finding,Yes
corpus,Domain,Finding,Yes
cost,Domain,Finding,Yes
createdFiles,Domain,Finding,Yes
CTF,Domain,Finding,Yes
cyberstrikeai-burp-extension-100,Domain,Finding,Yes
CyberStrikeAIClientConfig,Domain,Finding,Yes
CyberStrikeAITabTestRun,Domain,Finding,Yes
CyberStrikeAITabTestRunCellRenderer,Domain,Finding,Yes
dashboard,Domain,Finding,Yes
default,Domain,Finding,Yes
default_1,Domain,Finding,Yes
dependency_graph,Domain,Finding,Yes
detector,Domain,Finding,Yes
development,Domain,Finding,Yes
eino_checkpoint,Domain,Finding,Yes
eino_execute_monitor,Domain,Finding,Yes
eino_execute_streaming_wrap,Domain,Finding,Yes
eino_exit_fallback_test,Domain,Finding,Yes
eino_filesystem_tool_monitor,Domain,Finding,Yes
eino_input_telemetry,Domain,Finding,Yes
eino_middleware,Domain,Finding,Yes
eino_middleware_test,Domain,Finding,Yes
eino_model_facing_trace,Domain,Finding,Yes
eino_model_rewrite_pipeline,Domain,Finding,Yes
eino_orchestration,Domain,Finding,Yes
eino_resume_segment,Domain,Finding,Yes
eino_single_agent,Domain,Finding,Yes
eino_skills,Domain,Finding,Yes
eino_sse_sanitizer,Domain,Finding,Yes
eino_sse_sanitizer_test,Domain,Finding,Yes
eino_summarize,Domain,Finding,Yes
eino_summarize_test,Domain,Finding,Yes
engagement-planning,Domain,Finding,Yes
EQBSL-Primer,Domain,Finding,Yes
events,Domain,Finding,Yes
events_1,Domain,Finding,Yes
EvidenceCommand,Domain,Finding,Yes
eyewitness,Domain,Finding,Yes
feature,Domain,Finding,Yes
feature_2,Domain,Finding,Yes
formatting,Domain,Finding,Yes
frontmatter,Domain,Finding,Yes
generate-totp,Domain,Finding,Yes
git-manager,Domain,Finding,Yes
ground-truth-agent,Domain,Finding,Yes
group,Domain,Finding,Yes
hitl_context,Domain,Finding,Yes
hitl_middleware,Domain,Finding,Yes
holder,Domain,Finding,Yes
HttpMessageFormatter,Domain,Finding,Yes
impact-exfiltration,Domain,Finding,Yes
index,Domain,Finding,Yes
index_12,Domain,Finding,Yes
index_3,Domain,Finding,Yes
index_4,Domain,Finding,Yes
index_9,Domain,Finding,Yes
install_preferences,Domain,Finding,Yes
interrupt,Domain,Finding,Yes
lateral-movement,Domain,Finding,Yes
layout,Domain,Finding,Yes
listener_tcp,Domain,Finding,Yes
log-stream,Domain,Finding,Yes
logger,Domain,Finding,Yes
logger_1,Domain,Finding,Yes
login-instructions,Domain,Finding,Yes
login-instructions_1,Domain,Finding,Yes
logo,Domain,Finding,Yes
main_12,Domain,Finding,Yes
main_3,Domain,Finding,Yes
main_8,Domain,Finding,Yes
markdown_orchestrator_test,Domain,Finding,Yes
mcp_pent_claude_agent,Domain,Finding,Yes
mcp_tools,Domain,Finding,Yes
memory,Domain,Finding,Yes
metrics,Domain,Finding,Yes
models,Domain,Finding,Yes
model_manager,Domain,Finding,Yes
multi_agent_prepare,Domain,Finding,Yes
navigator,Domain,Finding,Yes
normalize_streaming_delta_test,Domain,Finding,Yes
normalize_streaming_eof_test,Domain,Finding,Yes
opsec-evasion,Domain,Finding,Yes
orchestratortest,Domain,Finding,Yes
orchestrator_instruction,Domain,Finding,Yes
orphan_tool_pruner_middleware_test,Domain,Finding,Yes
otel,Domain,Finding,Yes
package-lock_1,Domain,Finding,Yes
package_2,Domain,Finding,Yes
package_4,Domain,Finding,Yes
paths_1,Domain,Finding,Yes
payload_builder,Domain,Finding,Yes
PentestGPT_design,Domain,Finding,Yes
persistence-maintenance,Domain,Finding,Yes
plan_execute_executor,Domain,Finding,Yes
plan_execute_steps_cap,Domain,Finding,Yes
plan_execute_steps_cap_test,Domain,Finding,Yes
plan_execute_text,Domain,Finding,Yes
plan_execute_text_test,Domain,Finding,Yes
plugin_3,Domain,Finding,Yes
plugin_center,Domain,Finding,Yes
pnpm-workspace,Domain,Finding,Yes
portscan-all-tcp-ports,Domain,Finding,Yes
portscan-top-100-udp-ports,Domain,Finding,Yes
pre-commit-config,Domain,Finding,Yes
pre-recon-code_3,Domain,Finding,Yes
privilege-escalation,Domain,Finding,Yes
production,Domain,Finding,Yes
progress-manager,Domain,Finding,Yes
prompt-manager,Domain,Finding,Yes
prompts,Domain,Finding,Yes
prompt_select,Domain,Finding,Yes
README_14,Domain,Finding,Yes
README_34,Domain,Finding,Yes
README_35,Domain,Finding,Yes
README_40,Domain,Finding,Yes
reasoning_trace,Domain,Finding,Yes
reasoning_trace_test,Domain,Finding,Yes
reconftw_prox_deploy,Domain,Finding,Yes
recon_3,Domain,Finding,Yes
registry_4,Domain,Finding,Yes
registry_8,Domain,Finding,Yes
registry_bridge,Domain,Finding,Yes
remediation-agent,Domain,Finding,Yes
report-output-provider,Domain,Finding,Yes
reporting-remediation,Domain,Finding,Yes
report_agent,Domain,Finding,Yes
result,Domain,Finding,Yes
role,Domain,Finding,Yes
router,Domain,Finding,Yes
runner_reasoning_history_test,Domain,Finding,Yes
run_context,Domain,Finding,Yes
save-deliverable,Domain,Finding,Yes
service_1,Domain,Finding,Yes
settings_3,Domain,Finding,Yes
settings_4,Domain,Finding,Yes
skills,Domain,Finding,Yes
splash,Domain,Finding,Yes
sse_stream,Domain,Finding,Yes
styles,Domain,Finding,Yes
summary-mapper,Domain,Finding,Yes
task_handler,Domain,Finding,Yes
task_manager,Domain,Finding,Yes
task_processor,Domain,Finding,Yes
task_tree_manager,Domain,Finding,Yes
test-multibar,Domain,Finding,Yes
test_async_prompt,Domain,Finding,Yes
test_backend_interface,Domain,Finding,Yes
test_base_agent_coverage,Domain,Finding,Yes
test_controller,Domain,Finding,Yes
test_cost_tracker,Domain,Finding,Yes
test_events,Domain,Finding,Yes
test_install_planner,Domain,Finding,Yes
test_integration,Domain,Finding,Yes
test_langfuse,Domain,Finding,Yes
test_mcp_auth_session_reuse,Domain,Finding,Yes
test_mcp_client_and_hitl,Domain,Finding,Yes
test_mcp_server,Domain,Finding,Yes
test_output_parser,Domain,Finding,Yes
test_playbook,Domain,Finding,Yes
test_stage2_integration,Domain,Finding,Yes
test_trigger_system,Domain,Finding,Yes
test_web_agent_set_auth,Domain,Finding,Yes
tmux_manager,Domain,Finding,Yes
tool_error_middleware,Domain,Finding,Yes
tool_error_middleware_test,Domain,Finding,Yes
tool_invoke_notify,Domain,Finding,Yes
tracer,Domain,Finding,Yes
trigger_system,Domain,Finding,Yes
truncate_test,Domain,Finding,Yes
tsdownconfig,Domain,Finding,Yes
tui,Domain,Finding,Yes
types_7,Domain,Finding,Yes
utils,Domain,Finding,Yes
validate,Domain,Finding,Yes
validate-authentication,Domain,Finding,Yes
validation-harness,Domain,Finding,Yes
vulnerability-triage,Domain,Finding,Yes
Web,Domain,Finding,Yes
webshell_context,URL,Technology,Yes
webshell_context_test,URL,Technology,Yes
webshell_probe,URL,Technology,Yes
wechat,Domain,Finding,Yes
wireless_agent,Domain,Finding,Yes
workflow-logger,Domain,Finding,Yes
workflow_engine,Domain,Finding,Yes
_14,Domain,Finding,Yes
_rules_1,Domain,Finding,Yes
_target_1,Domain,Finding,Yes
__init___109,Domain,Finding,Yes
__init___11,Domain,Finding,Yes
__init___141,Domain,Finding,Yes
__init___144,Domain,Finding,Yes
__init___17,Domain,Finding,Yes
__init___202,Domain,Finding,Yes
__init___211,Domain,Finding,Yes
__init___29,Domain,Finding,Yes
