Repository,Required Dependencies,Optional Dependencies,Conflicts,Version Constraints
activity_feed,requirements.txt,Docker,None,Latest
ad_agent,requirements.txt,Docker,None,Latest
agent_1,requirements.txt,Docker,None,Latest
agent_trace,requirements.txt,Docker,None,Latest
agent_trace_test,requirements.txt,Docker,None,Latest
app_3,requirements.txt,Docker,None,Latest
attach,requirements.txt,Docker,None,Latest
attach_test,requirements.txt,Docker,None,Latest
audit,requirements.txt,Docker,None,Latest
audit-logger,requirements.txt,Docker,None,Latest
audit-session,requirements.txt,Docker,None,Latest
base-agent,requirements.txt,Docker,None,Latest
base_1,requirements.txt,Docker,None,Latest
base_tool,requirements.txt,Docker,None,Latest
batch_task,requirements.txt,Docker,None,Latest
batch_task_manager,requirements.txt,Docker,None,Latest
batch_task_mcp,requirements.txt,Docker,None,Latest
beacongo,requirements.txt,Docker,None,Latest
bug,requirements.txt,Docker,None,Latest
BurpExtender,requirements.txt,Docker,None,Latest
BurpExtender1,requirements.txt,Docker,None,Latest
c2_hitl_bridge,requirements.txt,Docker,None,Latest
CLAUDE,requirements.txt,Docker,None,Latest
claude_reasoning_roundtrip,requirements.txt,Docker,None,Latest
claude_reasoning_roundtrip_test,requirements.txt,Docker,None,Latest
cleanup-rollback,requirements.txt,Docker,None,Latest
client,requirements.txt,Docker,None,Latest
cmdi-agent,requirements.txt,Docker,None,Latest
config,requirements.txt,Docker,None,Latest
config_3,requirements.txt,Docker,None,Latest
content,requirements.txt,Docker,None,Latest
controller,requirements.txt,Docker,None,Latest
corpus,requirements.txt,Docker,None,Latest
cost,requirements.txt,Docker,None,Latest
createdFiles,requirements.txt,Docker,None,Latest
CTF,requirements.txt,Docker,None,Latest
cyberstrikeai-burp-extension-100,requirements.txt,Docker,None,Latest
CyberStrikeAIClientConfig,requirements.txt,Docker,None,Latest
CyberStrikeAITabTestRun,requirements.txt,Docker,None,Latest
CyberStrikeAITabTestRunCellRenderer,requirements.txt,Docker,None,Latest
dashboard,requirements.txt,Docker,None,Latest
default,requirements.txt,Docker,None,Latest
default_1,requirements.txt,Docker,None,Latest
dependency_graph,requirements.txt,Docker,None,Latest
detector,requirements.txt,Docker,None,Latest
development,requirements.txt,Docker,None,Latest
eino_checkpoint,requirements.txt,Docker,None,Latest
eino_execute_monitor,requirements.txt,Docker,None,Latest
eino_execute_streaming_wrap,requirements.txt,Docker,None,Latest
eino_exit_fallback_test,requirements.txt,Docker,None,Latest
eino_filesystem_tool_monitor,requirements.txt,Docker,None,Latest
eino_input_telemetry,requirements.txt,Docker,None,Latest
eino_middleware,requirements.txt,Docker,None,Latest
eino_middleware_test,requirements.txt,Docker,None,Latest
eino_model_facing_trace,requirements.txt,Docker,None,Latest
eino_model_rewrite_pipeline,requirements.txt,Docker,None,Latest
eino_orchestration,requirements.txt,Docker,None,Latest
eino_resume_segment,requirements.txt,Docker,None,Latest
eino_single_agent,requirements.txt,Docker,None,Latest
eino_skills,requirements.txt,Docker,None,Latest
eino_sse_sanitizer,requirements.txt,Docker,None,Latest
eino_sse_sanitizer_test,requirements.txt,Docker,None,Latest
eino_summarize,requirements.txt,Docker,None,Latest
eino_summarize_test,requirements.txt,Docker,None,Latest
engagement-planning,requirements.txt,Docker,None,Latest
EQBSL-Primer,requirements.txt,Docker,None,Latest
events,requirements.txt,Docker,None,Latest
events_1,requirements.txt,Docker,None,Latest
EvidenceCommand,requirements.txt,Docker,None,Latest
eyewitness,requirements.txt,Docker,None,Latest
feature,requirements.txt,Docker,None,Latest
feature_2,requirements.txt,Docker,None,Latest
formatting,requirements.txt,Docker,None,Latest
frontmatter,requirements.txt,Docker,None,Latest
generate-totp,requirements.txt,Docker,None,Latest
git-manager,requirements.txt,Docker,None,Latest
ground-truth-agent,requirements.txt,Docker,None,Latest
group,requirements.txt,Docker,None,Latest
hitl_context,requirements.txt,Docker,None,Latest
hitl_middleware,requirements.txt,Docker,None,Latest
holder,requirements.txt,Docker,None,Latest
HttpMessageFormatter,requirements.txt,Docker,None,Latest
impact-exfiltration,requirements.txt,Docker,None,Latest
index,requirements.txt,Docker,None,Latest
index_12,requirements.txt,Docker,None,Latest
index_3,requirements.txt,Docker,None,Latest
index_4,requirements.txt,Docker,None,Latest
index_9,requirements.txt,Docker,None,Latest
install_preferences,requirements.txt,Docker,None,Latest
interrupt,requirements.txt,Docker,None,Latest
lateral-movement,requirements.txt,Docker,None,Latest
layout,requirements.txt,Docker,None,Latest
listener_tcp,requirements.txt,Docker,None,Latest
log-stream,requirements.txt,Docker,None,Latest
logger,requirements.txt,Docker,None,Latest
logger_1,requirements.txt,Docker,None,Latest
login-instructions,requirements.txt,Docker,None,Latest
login-instructions_1,requirements.txt,Docker,None,Latest
logo,requirements.txt,Docker,None,Latest
main_12,requirements.txt,Docker,None,Latest
main_3,requirements.txt,Docker,None,Latest
main_8,requirements.txt,Docker,None,Latest
markdown_orchestrator_test,requirements.txt,Docker,None,Latest
mcp_pent_claude_agent,requirements.txt,Docker,None,Latest
mcp_tools,requirements.txt,Docker,None,Latest
memory,requirements.txt,Docker,None,Latest
metrics,requirements.txt,Docker,None,Latest
models,requirements.txt,Docker,None,Latest
model_manager,requirements.txt,Docker,None,Latest
multi_agent_prepare,requirements.txt,Docker,None,Latest
navigator,requirements.txt,Docker,None,Latest
normalize_streaming_delta_test,requirements.txt,Docker,None,Latest
normalize_streaming_eof_test,requirements.txt,Docker,None,Latest
opsec-evasion,requirements.txt,Docker,None,Latest
orchestratortest,requirements.txt,Docker,None,Latest
orchestrator_instruction,requirements.txt,Docker,None,Latest
orphan_tool_pruner_middleware_test,requirements.txt,Docker,None,Latest
otel,requirements.txt,Docker,None,Latest
package-lock_1,requirements.txt,Docker,None,Latest
package_2,requirements.txt,Docker,None,Latest
package_4,requirements.txt,Docker,None,Latest
paths_1,requirements.txt,Docker,None,Latest
payload_builder,requirements.txt,Docker,None,Latest
PentestGPT_design,requirements.txt,Docker,None,Latest
persistence-maintenance,requirements.txt,Docker,None,Latest
plan_execute_executor,requirements.txt,Docker,None,Latest
plan_execute_steps_cap,requirements.txt,Docker,None,Latest
plan_execute_steps_cap_test,requirements.txt,Docker,None,Latest
plan_execute_text,requirements.txt,Docker,None,Latest
plan_execute_text_test,requirements.txt,Docker,None,Latest
plugin_3,requirements.txt,Docker,None,Latest
plugin_center,requirements.txt,Docker,None,Latest
pnpm-workspace,requirements.txt,Docker,None,Latest
portscan-all-tcp-ports,requirements.txt,Docker,None,Latest
portscan-top-100-udp-ports,requirements.txt,Docker,None,Latest
pre-commit-config,requirements.txt,Docker,None,Latest
pre-recon-code_3,requirements.txt,Docker,None,Latest
privilege-escalation,requirements.txt,Docker,None,Latest
production,requirements.txt,Docker,None,Latest
progress-manager,requirements.txt,Docker,None,Latest
prompt-manager,requirements.txt,Docker,None,Latest
prompts,requirements.txt,Docker,None,Latest
prompt_select,requirements.txt,Docker,None,Latest
README_14,requirements.txt,Docker,None,Latest
README_34,requirements.txt,Docker,None,Latest
README_35,requirements.txt,Docker,None,Latest
README_40,requirements.txt,Docker,None,Latest
reasoning_trace,requirements.txt,Docker,None,Latest
reasoning_trace_test,requirements.txt,Docker,None,Latest
reconftw_prox_deploy,requirements.txt,Docker,None,Latest
recon_3,requirements.txt,Docker,None,Latest
registry_4,requirements.txt,Docker,None,Latest
registry_8,requirements.txt,Docker,None,Latest
registry_bridge,requirements.txt,Docker,None,Latest
remediation-agent,requirements.txt,Docker,None,Latest
report-output-provider,requirements.txt,Docker,None,Latest
reporting-remediation,requirements.txt,Docker,None,Latest
report_agent,requirements.txt,Docker,None,Latest
result,requirements.txt,Docker,None,Latest
role,requirements.txt,Docker,None,Latest
router,requirements.txt,Docker,None,Latest
runner_reasoning_history_test,requirements.txt,Docker,None,Latest
run_context,requirements.txt,Docker,None,Latest
save-deliverable,requirements.txt,Docker,None,Latest
service_1,requirements.txt,Docker,None,Latest
settings_3,requirements.txt,Docker,None,Latest
settings_4,requirements.txt,Docker,None,Latest
skills,requirements.txt,Docker,None,Latest
splash,requirements.txt,Docker,None,Latest
sse_stream,requirements.txt,Docker,None,Latest
styles,requirements.txt,Docker,None,Latest
summary-mapper,requirements.txt,Docker,None,Latest
task_handler,requirements.txt,Docker,None,Latest
task_manager,requirements.txt,Docker,None,Latest
task_processor,requirements.txt,Docker,None,Latest
task_tree_manager,requirements.txt,Docker,None,Latest
test-multibar,requirements.txt,Docker,None,Latest
test_async_prompt,requirements.txt,Docker,None,Latest
test_backend_interface,requirements.txt,Docker,None,Latest
test_base_agent_coverage,requirements.txt,Docker,None,Latest
test_controller,requirements.txt,Docker,None,Latest
test_cost_tracker,requirements.txt,Docker,None,Latest
test_events,requirements.txt,Docker,None,Latest
test_install_planner,requirements.txt,Docker,None,Latest
test_integration,requirements.txt,Docker,None,Latest
test_langfuse,requirements.txt,Docker,None,Latest
test_mcp_auth_session_reuse,requirements.txt,Docker,None,Latest
test_mcp_client_and_hitl,requirements.txt,Docker,None,Latest
test_mcp_server,requirements.txt,Docker,None,Latest
test_output_parser,requirements.txt,Docker,None,Latest
test_playbook,requirements.txt,Docker,None,Latest
test_stage2_integration,requirements.txt,Docker,None,Latest
test_trigger_system,requirements.txt,Docker,None,Latest
test_web_agent_set_auth,requirements.txt,Docker,None,Latest
tmux_manager,requirements.txt,Docker,None,Latest
tool_error_middleware,requirements.txt,Docker,None,Latest
tool_error_middleware_test,requirements.txt,Docker,None,Latest
tool_invoke_notify,requirements.txt,Docker,None,Latest
tracer,requirements.txt,Docker,None,Latest
trigger_system,requirements.txt,Docker,None,Latest
truncate_test,requirements.txt,Docker,None,Latest
tsdownconfig,requirements.txt,Docker,None,Latest
tui,requirements.txt,Docker,None,Latest
types_7,requirements.txt,Docker,None,Latest
utils,requirements.txt,Docker,None,Latest
validate,requirements.txt,Docker,None,Latest
validate-authentication,requirements.txt,Docker,None,Latest
validation-harness,requirements.txt,Docker,None,Latest
vulnerability-triage,requirements.txt,Docker,None,Latest
Web,requirements.txt,Docker,None,Latest
