Repository,Documentation Type,File,Status
activity_feed,Usage/Info,plugins\ai_systems\activity_feed\README.md,Recovered
ad_agent,Usage/Info,plugins\ai_systems\ad_agent\README.md,Recovered
agent_1,Usage/Info,plugins\ai_systems\agent_1\README.md,Recovered
agent_trace,Usage/Info,plugins\ai_systems\agent_trace\README.md,Recovered
agent_trace_test,Usage/Info,plugins\ai_systems\agent_trace_test\README.md,Recovered
app_3,Usage/Info,plugins\ai_systems\app_3\README.md,Recovered
attach,Usage/Info,plugins\ai_systems\attach\README.md,Recovered
attach_test,Usage/Info,plugins\ai_systems\attach_test\README.md,Recovered
audit,Usage/Info,plugins\ai_systems\audit\README.md,Recovered
audit-logger,Usage/Info,plugins\ai_systems\audit-logger\README.md,Recovered
audit-session,Usage/Info,plugins\ai_systems\audit-session\README.md,Recovered
base-agent,Usage/Info,plugins\ai_systems\base-agent\README.md,Recovered
base_1,Usage/Info,plugins\ai_systems\base_1\README.md,Recovered
base_tool,Usage/Info,plugins\ai_systems\base_tool\README.md,Recovered
batch_task,Usage/Info,plugins\ai_systems\batch_task\README.md,Recovered
batch_task_manager,Usage/Info,plugins\ai_systems\batch_task_manager\README.md,Recovered
batch_task_mcp,Usage/Info,plugins\ai_systems\batch_task_mcp\README.md,Recovered
beacongo,Usage/Info,plugins\ai_systems\beacongo\README.md,Recovered
bug,Usage/Info,plugins\ai_systems\bug\README.md,Recovered
BurpExtender,Usage/Info,plugins\ai_systems\BurpExtender\README.md,Recovered
BurpExtender1,Usage/Info,plugins\ai_systems\BurpExtender1\README.md,Recovered
c2_hitl_bridge,Usage/Info,plugins\ai_systems\c2_hitl_bridge\README.md,Recovered
CLAUDE,Usage/Info,plugins\ai_systems\CLAUDE\README.md,Recovered
claude_reasoning_roundtrip,Usage/Info,plugins\ai_systems\claude_reasoning_roundtrip\README.md,Recovered
claude_reasoning_roundtrip_test,Usage/Info,plugins\ai_systems\claude_reasoning_roundtrip_test\README.md,Recovered
cleanup-rollback,Usage/Info,plugins\ai_systems\cleanup-rollback\README.md,Recovered
client,Usage/Info,plugins\ai_systems\client\README.md,Recovered
cmdi-agent,Usage/Info,plugins\ai_systems\cmdi-agent\README.md,Recovered
config,Usage/Info,plugins\ai_systems\config\README.md,Recovered
config_3,Usage/Info,plugins\ai_systems\config_3\README.md,Recovered
content,Usage/Info,plugins\ai_systems\content\README.md,Recovered
controller,Usage/Info,plugins\ai_systems\controller\README.md,Recovered
corpus,Usage/Info,plugins\ai_systems\corpus\README.md,Recovered
cost,Usage/Info,plugins\ai_systems\cost\README.md,Recovered
createdFiles,Usage/Info,plugins\ai_systems\createdFiles\README.md,Recovered
CTF,Usage/Info,plugins\ai_systems\CTF\README.md,Recovered
cyberstrikeai-burp-extension-100,Usage/Info,plugins\ai_systems\cyberstrikeai-burp-extension-100\README.md,Recovered
CyberStrikeAIClientConfig,Usage/Info,plugins\ai_systems\CyberStrikeAIClientConfig\README.md,Recovered
CyberStrikeAITabTestRun,Usage/Info,plugins\ai_systems\CyberStrikeAITabTestRun\README.md,Recovered
CyberStrikeAITabTestRunCellRenderer,Usage/Info,plugins\ai_systems\CyberStrikeAITabTestRunCellRenderer\README.md,Recovered
dashboard,Usage/Info,plugins\ai_systems\dashboard\README.md,Recovered
default,Usage/Info,plugins\ai_systems\default\README.md,Recovered
default_1,Usage/Info,plugins\ai_systems\default_1\README.md,Recovered
dependency_graph,Usage/Info,plugins\ai_systems\dependency_graph\README.md,Recovered
detector,Usage/Info,plugins\ai_systems\detector\README.md,Recovered
development,Usage/Info,plugins\ai_systems\development\README.md,Recovered
eino_checkpoint,Usage/Info,plugins\ai_systems\eino_checkpoint\README.md,Recovered
eino_execute_monitor,Usage/Info,plugins\ai_systems\eino_execute_monitor\README.md,Recovered
eino_execute_streaming_wrap,Usage/Info,plugins\ai_systems\eino_execute_streaming_wrap\README.md,Recovered
eino_exit_fallback_test,Usage/Info,plugins\ai_systems\eino_exit_fallback_test\README.md,Recovered
eino_filesystem_tool_monitor,Usage/Info,plugins\ai_systems\eino_filesystem_tool_monitor\README.md,Recovered
eino_input_telemetry,Usage/Info,plugins\ai_systems\eino_input_telemetry\README.md,Recovered
eino_middleware,Usage/Info,plugins\ai_systems\eino_middleware\README.md,Recovered
eino_middleware_test,Usage/Info,plugins\ai_systems\eino_middleware_test\README.md,Recovered
eino_model_facing_trace,Usage/Info,plugins\ai_systems\eino_model_facing_trace\README.md,Recovered
eino_model_rewrite_pipeline,Usage/Info,plugins\ai_systems\eino_model_rewrite_pipeline\README.md,Recovered
eino_orchestration,Usage/Info,plugins\ai_systems\eino_orchestration\README.md,Recovered
eino_resume_segment,Usage/Info,plugins\ai_systems\eino_resume_segment\README.md,Recovered
eino_single_agent,Usage/Info,plugins\ai_systems\eino_single_agent\README.md,Recovered
eino_skills,Usage/Info,plugins\ai_systems\eino_skills\README.md,Recovered
eino_sse_sanitizer,Usage/Info,plugins\ai_systems\eino_sse_sanitizer\README.md,Recovered
eino_sse_sanitizer_test,Usage/Info,plugins\ai_systems\eino_sse_sanitizer_test\README.md,Recovered
eino_summarize,Usage/Info,plugins\ai_systems\eino_summarize\README.md,Recovered
eino_summarize_test,Usage/Info,plugins\ai_systems\eino_summarize_test\README.md,Recovered
engagement-planning,Usage/Info,plugins\ai_systems\engagement-planning\README.md,Recovered
EQBSL-Primer,Usage/Info,plugins\ai_systems\EQBSL-Primer\README.md,Recovered
events,Usage/Info,plugins\ai_systems\events\README.md,Recovered
events_1,Usage/Info,plugins\ai_systems\events_1\README.md,Recovered
EvidenceCommand,Usage/Info,plugins\ai_systems\EvidenceCommand\README.md,Recovered
eyewitness,Usage/Info,plugins\ai_systems\eyewitness\README.md,Recovered
feature,Usage/Info,plugins\ai_systems\feature\README.md,Recovered
feature_2,Usage/Info,plugins\ai_systems\feature_2\README.md,Recovered
formatting,Usage/Info,plugins\ai_systems\formatting\README.md,Recovered
frontmatter,Usage/Info,plugins\ai_systems\frontmatter\README.md,Recovered
generate-totp,Usage/Info,plugins\ai_systems\generate-totp\README.md,Recovered
git-manager,Usage/Info,plugins\ai_systems\git-manager\README.md,Recovered
ground-truth-agent,Usage/Info,plugins\ai_systems\ground-truth-agent\README.md,Recovered
group,Usage/Info,plugins\ai_systems\group\README.md,Recovered
hitl_context,Usage/Info,plugins\ai_systems\hitl_context\README.md,Recovered
hitl_middleware,Usage/Info,plugins\ai_systems\hitl_middleware\README.md,Recovered
holder,Usage/Info,plugins\ai_systems\holder\README.md,Recovered
HttpMessageFormatter,Usage/Info,plugins\ai_systems\HttpMessageFormatter\README.md,Recovered
impact-exfiltration,Usage/Info,plugins\ai_systems\impact-exfiltration\README.md,Recovered
index,Usage/Info,plugins\ai_systems\index\README.md,Recovered
index_12,Usage/Info,plugins\ai_systems\index_12\README.md,Recovered
index_3,Usage/Info,plugins\ai_systems\index_3\README.md,Recovered
index_4,Usage/Info,plugins\ai_systems\index_4\README.md,Recovered
index_9,Usage/Info,plugins\ai_systems\index_9\README.md,Recovered
install_preferences,Usage/Info,plugins\ai_systems\install_preferences\README.md,Recovered
interrupt,Usage/Info,plugins\ai_systems\interrupt\README.md,Recovered
lateral-movement,Usage/Info,plugins\ai_systems\lateral-movement\README.md,Recovered
layout,Usage/Info,plugins\ai_systems\layout\README.md,Recovered
listener_tcp,Usage/Info,plugins\ai_systems\listener_tcp\README.md,Recovered
log-stream,Usage/Info,plugins\ai_systems\log-stream\README.md,Recovered
logger,Usage/Info,plugins\ai_systems\logger\README.md,Recovered
logger_1,Usage/Info,plugins\ai_systems\logger_1\README.md,Recovered
login-instructions,Usage/Info,plugins\ai_systems\login-instructions\README.md,Recovered
login-instructions_1,Usage/Info,plugins\ai_systems\login-instructions_1\README.md,Recovered
logo,Usage/Info,plugins\ai_systems\logo\README.md,Recovered
main_12,Usage/Info,plugins\ai_systems\main_12\README.md,Recovered
main_3,Usage/Info,plugins\ai_systems\main_3\README.md,Recovered
main_8,Usage/Info,plugins\ai_systems\main_8\README.md,Recovered
markdown_orchestrator_test,Usage/Info,plugins\ai_systems\markdown_orchestrator_test\README.md,Recovered
mcp_pent_claude_agent,Usage/Info,plugins\ai_systems\mcp_pent_claude_agent\README.md,Recovered
mcp_tools,Usage/Info,plugins\ai_systems\mcp_tools\README.md,Recovered
memory,Usage/Info,plugins\ai_systems\memory\README.md,Recovered
metrics,Usage/Info,plugins\ai_systems\metrics\README.md,Recovered
models,Usage/Info,plugins\ai_systems\models\README.md,Recovered
model_manager,Usage/Info,plugins\ai_systems\model_manager\README.md,Recovered
multi_agent_prepare,Usage/Info,plugins\ai_systems\multi_agent_prepare\README.md,Recovered
navigator,Usage/Info,plugins\ai_systems\navigator\README.md,Recovered
normalize_streaming_delta_test,Usage/Info,plugins\ai_systems\normalize_streaming_delta_test\README.md,Recovered
normalize_streaming_eof_test,Usage/Info,plugins\ai_systems\normalize_streaming_eof_test\README.md,Recovered
opsec-evasion,Usage/Info,plugins\ai_systems\opsec-evasion\README.md,Recovered
orchestratortest,Usage/Info,plugins\ai_systems\orchestratortest\README.md,Recovered
orchestrator_instruction,Usage/Info,plugins\ai_systems\orchestrator_instruction\README.md,Recovered
orphan_tool_pruner_middleware_test,Usage/Info,plugins\ai_systems\orphan_tool_pruner_middleware_test\README.md,Recovered
otel,Usage/Info,plugins\ai_systems\otel\README.md,Recovered
package-lock_1,Usage/Info,plugins\ai_systems\package-lock_1\README.md,Recovered
package_2,Usage/Info,plugins\ai_systems\package_2\README.md,Recovered
package_4,Usage/Info,plugins\ai_systems\package_4\README.md,Recovered
paths_1,Usage/Info,plugins\ai_systems\paths_1\README.md,Recovered
payload_builder,Usage/Info,plugins\ai_systems\payload_builder\README.md,Recovered
PentestGPT_design,Usage/Info,plugins\ai_systems\PentestGPT_design\README.md,Recovered
persistence-maintenance,Usage/Info,plugins\ai_systems\persistence-maintenance\README.md,Recovered
plan_execute_executor,Usage/Info,plugins\ai_systems\plan_execute_executor\README.md,Recovered
plan_execute_steps_cap,Usage/Info,plugins\ai_systems\plan_execute_steps_cap\README.md,Recovered
plan_execute_steps_cap_test,Usage/Info,plugins\ai_systems\plan_execute_steps_cap_test\README.md,Recovered
plan_execute_text,Usage/Info,plugins\ai_systems\plan_execute_text\README.md,Recovered
plan_execute_text_test,Usage/Info,plugins\ai_systems\plan_execute_text_test\README.md,Recovered
plugin_3,Usage/Info,plugins\ai_systems\plugin_3\README.md,Recovered
plugin_center,Usage/Info,plugins\ai_systems\plugin_center\README.md,Recovered
pnpm-workspace,Usage/Info,plugins\ai_systems\pnpm-workspace\README.md,Recovered
portscan-all-tcp-ports,Usage/Info,plugins\ai_systems\portscan-all-tcp-ports\README.md,Recovered
portscan-top-100-udp-ports,Usage/Info,plugins\ai_systems\portscan-top-100-udp-ports\README.md,Recovered
pre-commit-config,Usage/Info,plugins\ai_systems\pre-commit-config\README.md,Recovered
pre-recon-code_3,Usage/Info,plugins\ai_systems\pre-recon-code_3\README.md,Recovered
privilege-escalation,Usage/Info,plugins\ai_systems\privilege-escalation\README.md,Recovered
production,Usage/Info,plugins\ai_systems\production\README.md,Recovered
progress-manager,Usage/Info,plugins\ai_systems\progress-manager\README.md,Recovered
prompt-manager,Usage/Info,plugins\ai_systems\prompt-manager\README.md,Recovered
prompts,Usage/Info,plugins\ai_systems\prompts\README.md,Recovered
prompt_select,Usage/Info,plugins\ai_systems\prompt_select\README.md,Recovered
README_14,Usage/Info,plugins\ai_systems\README_14\README.md,Recovered
README_34,Usage/Info,plugins\ai_systems\README_34\README.md,Recovered
README_35,Usage/Info,plugins\ai_systems\README_35\README.md,Recovered
README_40,Usage/Info,plugins\ai_systems\README_40\README.md,Recovered
reasoning_trace,Usage/Info,plugins\ai_systems\reasoning_trace\README.md,Recovered
reasoning_trace_test,Usage/Info,plugins\ai_systems\reasoning_trace_test\README.md,Recovered
reconftw_prox_deploy,Usage/Info,plugins\ai_systems\reconftw_prox_deploy\README.md,Recovered
recon_3,Usage/Info,plugins\ai_systems\recon_3\README.md,Recovered
registry_4,Usage/Info,plugins\ai_systems\registry_4\README.md,Recovered
registry_8,Usage/Info,plugins\ai_systems\registry_8\README.md,Recovered
registry_bridge,Usage/Info,plugins\ai_systems\registry_bridge\README.md,Recovered
remediation-agent,Usage/Info,plugins\ai_systems\remediation-agent\README.md,Recovered
report-output-provider,Usage/Info,plugins\ai_systems\report-output-provider\README.md,Recovered
reporting-remediation,Usage/Info,plugins\ai_systems\reporting-remediation\README.md,Recovered
report_agent,Usage/Info,plugins\ai_systems\report_agent\README.md,Recovered
result,Usage/Info,plugins\ai_systems\result\README.md,Recovered
role,Usage/Info,plugins\ai_systems\role\README.md,Recovered
router,Usage/Info,plugins\ai_systems\router\README.md,Recovered
runner_reasoning_history_test,Usage/Info,plugins\ai_systems\runner_reasoning_history_test\README.md,Recovered
run_context,Usage/Info,plugins\ai_systems\run_context\README.md,Recovered
save-deliverable,Usage/Info,plugins\ai_systems\save-deliverable\README.md,Recovered
service_1,Usage/Info,plugins\ai_systems\service_1\README.md,Recovered
settings_3,Usage/Info,plugins\ai_systems\settings_3\README.md,Recovered
settings_4,Usage/Info,plugins\ai_systems\settings_4\README.md,Recovered
skills,Usage/Info,plugins\ai_systems\skills\README.md,Recovered
splash,Usage/Info,plugins\ai_systems\splash\README.md,Recovered
sse_stream,Usage/Info,plugins\ai_systems\sse_stream\README.md,Recovered
styles,Usage/Info,plugins\ai_systems\styles\README.md,Recovered
summary-mapper,Usage/Info,plugins\ai_systems\summary-mapper\README.md,Recovered
task_handler,Usage/Info,plugins\ai_systems\task_handler\README.md,Recovered
task_manager,Usage/Info,plugins\ai_systems\task_manager\README.md,Recovered
task_processor,Usage/Info,plugins\ai_systems\task_processor\README.md,Recovered
task_tree_manager,Usage/Info,plugins\ai_systems\task_tree_manager\README.md,Recovered
test-multibar,Usage/Info,plugins\ai_systems\test-multibar\README.md,Recovered
test_async_prompt,Usage/Info,plugins\ai_systems\test_async_prompt\README.md,Recovered
test_backend_interface,Usage/Info,plugins\ai_systems\test_backend_interface\README.md,Recovered
test_base_agent_coverage,Usage/Info,plugins\ai_systems\test_base_agent_coverage\README.md,Recovered
test_controller,Usage/Info,plugins\ai_systems\test_controller\README.md,Recovered
test_cost_tracker,Usage/Info,plugins\ai_systems\test_cost_tracker\README.md,Recovered
test_events,Usage/Info,plugins\ai_systems\test_events\README.md,Recovered
test_install_planner,Usage/Info,plugins\ai_systems\test_install_planner\README.md,Recovered
test_integration,Usage/Info,plugins\ai_systems\test_integration\README.md,Recovered
test_langfuse,Usage/Info,plugins\ai_systems\test_langfuse\README.md,Recovered
test_mcp_auth_session_reuse,Usage/Info,plugins\ai_systems\test_mcp_auth_session_reuse\README.md,Recovered
