Repository,Integration Difficulty,Maintenance Cost,Dependency Complexity,Execution Complexity
activity_feed,Extreme,Extreme,Extreme,Extreme
ad_agent,Extreme,Extreme,Extreme,Extreme
agent_1,Extreme,Extreme,Extreme,Extreme
agent_trace,Extreme,Extreme,Extreme,Extreme
agent_trace_test,Extreme,Extreme,Extreme,Extreme
app_3,Extreme,Extreme,Extreme,Extreme
attach,Extreme,Extreme,Extreme,Extreme
attach_test,Extreme,Extreme,Extreme,Extreme
audit,Extreme,Extreme,Extreme,Extreme
audit-logger,Extreme,Extreme,Extreme,Extreme
audit-session,Extreme,Extreme,Extreme,Extreme
base-agent,Extreme,Extreme,Extreme,Extreme
base_1,Extreme,Extreme,Extreme,Extreme
base_tool,Extreme,Extreme,Extreme,Extreme
batch_task,Extreme,Extreme,Extreme,Extreme
batch_task_manager,Extreme,Extreme,Extreme,Extreme
batch_task_mcp,Extreme,Extreme,Extreme,Extreme
beacongo,Extreme,Extreme,Extreme,Extreme
bug,Extreme,Extreme,Extreme,Extreme
BurpExtender,Extreme,Extreme,Extreme,Extreme
BurpExtender1,Extreme,Extreme,Extreme,Extreme
c2_hitl_bridge,Extreme,Extreme,Extreme,Extreme
CLAUDE,Extreme,Extreme,Extreme,Extreme
claude_reasoning_roundtrip,Extreme,Extreme,Extreme,Extreme
claude_reasoning_roundtrip_test,Extreme,Extreme,Extreme,Extreme
cleanup-rollback,Extreme,Extreme,Extreme,Extreme
client,Extreme,Extreme,Extreme,Extreme
cmdi-agent,Extreme,Extreme,Extreme,Extreme
config,Extreme,Extreme,Extreme,Extreme
config_3,Extreme,Extreme,Extreme,Extreme
content,Extreme,Extreme,Extreme,Extreme
controller,Extreme,Extreme,Extreme,Extreme
corpus,Extreme,Extreme,Extreme,Extreme
cost,Extreme,Extreme,Extreme,Extreme
createdFiles,Extreme,Extreme,Extreme,Extreme
CTF,Extreme,Extreme,Extreme,Extreme
cyberstrikeai-burp-extension-100,Extreme,Extreme,Extreme,Extreme
CyberStrikeAIClientConfig,Extreme,Extreme,Extreme,Extreme
