Repository,Score,Source Code Present,Dependencies Present,Adapter Present,Parser Present,Tests Present,Documentation Present,Integrated Into Workflow
activity_feed,15%,False,True,False,False,False,False,True
ad_agent,15%,False,True,False,False,False,False,True
agent_1,15%,False,True,False,False,False,False,True
agent_trace,15%,False,True,False,False,False,False,True
agent_trace_test,15%,False,True,False,False,False,False,True
app_3,15%,False,True,False,False,False,False,True
attach,15%,False,True,False,False,False,False,True
attach_test,15%,False,True,False,False,False,False,True
audit,15%,False,True,False,False,False,False,True
audit-logger,15%,False,True,False,False,False,False,True
audit-session,15%,False,True,False,False,False,False,True
base-agent,15%,False,True,False,False,False,False,True
base_1,15%,False,True,False,False,False,False,True
base_tool,15%,False,True,False,False,False,False,True
batch_task,15%,False,True,False,False,False,False,True
batch_task_manager,15%,False,True,False,False,False,False,True
batch_task_mcp,15%,False,True,False,False,False,False,True
beacongo,15%,False,True,False,False,False,False,True
bug,15%,False,True,False,False,False,False,True
BurpExtender,15%,False,True,False,False,False,False,True
BurpExtender1,15%,False,True,False,False,False,False,True
c2_hitl_bridge,15%,False,True,False,False,False,False,True
CLAUDE,15%,False,True,False,False,False,False,True
claude_reasoning_roundtrip,15%,False,True,False,False,False,False,True
claude_reasoning_roundtrip_test,15%,False,True,False,False,False,False,True
cleanup-rollback,15%,False,True,False,False,False,False,True
client,15%,False,True,False,False,False,False,True
cmdi-agent,15%,False,True,False,False,False,False,True
config,15%,False,True,False,False,False,False,True
config_3,15%,False,True,False,False,False,False,True
content,15%,False,True,False,False,False,False,True
controller,15%,False,True,False,False,False,False,True
corpus,15%,False,True,False,False,False,False,True
cost,15%,False,True,False,False,False,False,True
createdFiles,15%,False,True,False,False,False,False,True
CTF,15%,False,True,False,False,False,False,True
cyberstrikeai-burp-extension-100,15%,False,True,False,False,False,False,True
CyberStrikeAIClientConfig,15%,False,True,False,False,False,False,True
CyberStrikeAITabTestRun,15%,False,True,False,False,False,False,True
CyberStrikeAITabTestRunCellRenderer,15%,False,True,False,False,False,False,True
