Repository,Original Source,Wrapper Only,YAML Only,Audit File,Missing Executable,Estimated Integration %
activity_feed,False,False,True,False,True,15%
ad_agent,False,False,True,False,True,15%
agent_1,False,False,True,False,True,15%
agent_trace,False,False,True,False,True,15%
agent_trace_test,False,False,True,False,True,15%
app_3,False,False,True,False,True,15%
attach,False,False,True,False,True,15%
attach_test,False,False,True,False,True,15%
audit,False,False,True,False,True,15%
audit-logger,False,False,True,False,True,15%
audit-session,False,False,True,False,True,15%
base-agent,False,False,True,False,True,15%
base_1,False,False,True,False,True,15%
base_tool,False,False,True,False,True,15%
batch_task,False,False,True,False,True,15%
batch_task_manager,False,False,True,False,True,15%
batch_task_mcp,False,False,True,False,True,15%
beacongo,False,False,True,False,True,15%
bug,False,False,True,False,True,15%
BurpExtender,False,False,True,False,True,15%
BurpExtender1,False,False,True,False,True,15%
c2_hitl_bridge,False,False,True,False,True,15%
CLAUDE,False,False,True,False,True,15%
claude_reasoning_roundtrip,False,False,True,False,True,15%
claude_reasoning_roundtrip_test,False,False,True,False,True,15%
cleanup-rollback,False,False,True,False,True,15%
client,False,False,True,False,True,15%
cmdi-agent,False,False,True,False,True,15%
config,False,False,True,False,True,15%
config_3,False,False,True,False,True,15%
content,False,False,True,False,True,15%
controller,False,False,True,False,True,15%
corpus,False,False,True,False,True,15%
cost,False,False,True,False,True,15%
createdFiles,False,False,True,False,True,15%
CTF,False,False,True,False,True,15%
cyberstrikeai-burp-extension-100,False,False,True,False,True,15%
CyberStrikeAIClientConfig,False,False,True,False,True,15%
CyberStrikeAITabTestRun,False,False,True,False,True,15%
CyberStrikeAITabTestRunCellRenderer,False,False,True,False,True,15%
dashboard,False,False,True,False,True,15%
default,False,False,True,False,True,15%
default_1,False,False,True,False,True,15%
dependency_graph,False,False,True,False,True,15%
detector,False,False,True,False,True,15%
development,False,False,True,False,True,15%
eino_checkpoint,False,False,True,False,True,15%
eino_execute_monitor,False,False,True,False,True,15%
eino_execute_streaming_wrap,False,False,True,False,True,15%
eino_exit_fallback_test,False,False,True,False,True,15%
eino_filesystem_tool_monitor,False,False,True,False,True,15%
eino_input_telemetry,False,False,True,False,True,15%
eino_middleware,False,False,True,False,True,15%
eino_middleware_test,False,False,True,False,True,15%
eino_model_facing_trace,False,False,True,False,True,15%
eino_model_rewrite_pipeline,False,False,True,False,True,15%
eino_orchestration,False,False,True,False,True,15%
eino_resume_segment,False,False,True,False,True,15%
eino_single_agent,False,False,True,False,True,15%
eino_skills,False,False,True,False,True,15%
eino_sse_sanitizer,False,False,True,False,True,15%
eino_sse_sanitizer_test,False,False,True,False,True,15%
eino_summarize,False,False,True,False,True,15%
eino_summarize_test,False,False,True,False,True,15%
engagement-planning,False,False,True,False,True,15%
EQBSL-Primer,False,False,True,False,True,15%
events,False,False,True,False,True,15%
events_1,False,False,True,False,True,15%
EvidenceCommand,False,False,True,False,True,15%
eyewitness,False,False,True,False,True,15%
feature,False,False,True,False,True,15%
feature_2,False,False,True,False,True,15%
formatting,False,False,True,False,True,15%
frontmatter,False,False,True,False,True,15%
generate-totp,False,False,True,False,True,15%
git-manager,False,False,True,False,True,15%
ground-truth-agent,False,False,True,False,True,15%
group,False,False,True,False,True,15%
hitl_context,False,False,True,False,True,15%
hitl_middleware,False,False,True,False,True,15%
holder,False,False,True,False,True,15%
HttpMessageFormatter,False,False,True,False,True,15%
impact-exfiltration,False,False,True,False,True,15%
index,False,False,True,False,True,15%
index_12,False,False,True,False,True,15%
index_3,False,False,True,False,True,15%
index_4,False,False,True,False,True,15%
index_9,False,False,True,False,True,15%
install_preferences,False,False,True,False,True,15%
interrupt,False,False,True,False,True,15%
lateral-movement,False,False,True,False,True,15%
layout,False,False,True,False,True,15%
listener_tcp,False,False,True,False,True,15%
log-stream,False,False,True,False,True,15%
logger,False,False,True,False,True,15%
logger_1,False,False,True,False,True,15%
