Repository,Tier
activity_feed,Tier 5
ad_agent,Tier 5
agent_1,Tier 5
agent_trace,Tier 5
agent_trace_test,Tier 5
app_3,Tier 5
attach,Tier 5
attach_test,Tier 5
audit,Tier 5
audit-logger,Tier 5
audit-session,Tier 5
base-agent,Tier 5
base_1,Tier 5
base_tool,Tier 5
batch_task,Tier 5
batch_task_manager,Tier 5
batch_task_mcp,Tier 5
beacongo,Tier 5
bug,Tier 5
BurpExtender,Tier 5
BurpExtender1,Tier 5
c2_hitl_bridge,Tier 5
CLAUDE,Tier 5
claude_reasoning_roundtrip,Tier 5
claude_reasoning_roundtrip_test,Tier 5
cleanup-rollback,Tier 5
client,Tier 5
cmdi-agent,Tier 5
config,Tier 5
config_3,Tier 5
content,Tier 5
controller,Tier 5
corpus,Tier 5
cost,Tier 5
createdFiles,Tier 5
CTF,Tier 5
cyberstrikeai-burp-extension-100,Tier 5
CyberStrikeAIClientConfig,Tier 5
CyberStrikeAITabTestRun,Tier 5
CyberStrikeAITabTestRunCellRenderer,Tier 5
dashboard,Tier 5
default,Tier 5
default_1,Tier 5
dependency_graph,Tier 5
detector,Tier 5
development,Tier 5
eino_checkpoint,Tier 5
eino_execute_monitor,Tier 5
eino_execute_streaming_wrap,Tier 5
eino_exit_fallback_test,Tier 5
eino_filesystem_tool_monitor,Tier 5
eino_input_telemetry,Tier 5
eino_middleware,Tier 5
eino_middleware_test,Tier 5
eino_model_facing_trace,Tier 5
eino_model_rewrite_pipeline,Tier 5
eino_orchestration,Tier 5
eino_resume_segment,Tier 5
eino_single_agent,Tier 5
eino_skills,Tier 5
eino_sse_sanitizer,Tier 5
eino_sse_sanitizer_test,Tier 5
eino_summarize,Tier 5
eino_summarize_test,Tier 5
engagement-planning,Tier 5
EQBSL-Primer,Tier 5
events,Tier 1
events_1,Tier 5
EvidenceCommand,Tier 5
eyewitness,Tier 5
feature,Tier 5
feature_2,Tier 5
formatting,Tier 5
frontmatter,Tier 5
generate-totp,Tier 5
git-manager,Tier 5
ground-truth-agent,Tier 5
group,Tier 5
hitl_context,Tier 5
hitl_middleware,Tier 5
holder,Tier 5
HttpMessageFormatter,Tier 5
impact-exfiltration,Tier 5
index,Tier 5
index_12,Tier 5
index_3,Tier 5
index_4,Tier 1
index_9,Tier 5
install_preferences,Tier 5
interrupt,Tier 5
lateral-movement,Tier 5
layout,Tier 5
listener_tcp,Tier 5
log-stream,Tier 5
logger,Tier 5
logger_1,Tier 5
login-instructions,Tier 5
login-instructions_1,Tier 5
logo,Tier 5
main_12,Tier 5
main_3,Tier 4
main_8,Tier 4
markdown_orchestrator_test,Tier 5
mcp_pent_claude_agent,Tier 5
mcp_tools,Tier 5
memory,Tier 5
metrics,Tier 5
models,Tier 1
model_manager,Tier 5
multi_agent_prepare,Tier 5
navigator,Tier 5
normalize_streaming_delta_test,Tier 5
normalize_streaming_eof_test,Tier 5
opsec-evasion,Tier 5
orchestratortest,Tier 5
orchestrator_instruction,Tier 5
orphan_tool_pruner_middleware_test,Tier 5
otel,Tier 5
package-lock_1,Tier 5
package_2,Tier 5
package_4,Tier 5
paths_1,Tier 5
payload_builder,Tier 5
PentestGPT_design,Tier 5
persistence-maintenance,Tier 5
plan_execute_executor,Tier 5
plan_execute_steps_cap,Tier 5
plan_execute_steps_cap_test,Tier 5
plan_execute_text,Tier 5
plan_execute_text_test,Tier 5
plugin_3,Tier 1
plugin_center,Tier 5
pnpm-workspace,Tier 5
portscan-all-tcp-ports,Tier 5
portscan-top-100-udp-ports,Tier 5
pre-commit-config,Tier 5
pre-recon-code_3,Tier 5
privilege-escalation,Tier 5
production,Tier 5
progress-manager,Tier 5
prompt-manager,Tier 5
prompts,Tier 1
prompt_select,Tier 5
README_14,Tier 5
README_34,Tier 5
README_35,Tier 5
README_40,Tier 5
reasoning_trace,Tier 5
reasoning_trace_test,Tier 5
reconftw_prox_deploy,Tier 5
recon_3,Tier 5
registry_4,Tier 5
registry_8,Tier 5
registry_bridge,Tier 5
remediation-agent,Tier 5
report-output-provider,Tier 5
reporting-remediation,Tier 5
report_agent,Tier 5
result,Tier 5
role,Tier 5
router,Tier 5
runner_reasoning_history_test,Tier 5
run_context,Tier 5
save-deliverable,Tier 5
service_1,Tier 5
settings_3,Tier 5
settings_4,Tier 5
skills,Tier 5
splash,Tier 5
sse_stream,Tier 5
styles,Tier 5
summary-mapper,Tier 5
task_handler,Tier 5
task_manager,Tier 5
task_processor,Tier 5
task_tree_manager,Tier 5
test-multibar,Tier 5
test_async_prompt,Tier 5
test_backend_interface,Tier 5
test_base_agent_coverage,Tier 5
test_controller,Tier 5
test_cost_tracker,Tier 5
test_events,Tier 5
test_install_planner,Tier 5
test_integration,Tier 5
test_langfuse,Tier 5
test_mcp_auth_session_reuse,Tier 5
test_mcp_client_and_hitl,Tier 5
test_mcp_server,Tier 5
test_output_parser,Tier 5
test_playbook,Tier 5
test_stage2_integration,Tier 5
test_trigger_system,Tier 5
test_web_agent_set_auth,Tier 5
tmux_manager,Tier 5
tool_error_middleware,Tier 5
tool_error_middleware_test,Tier 5
tool_invoke_notify,Tier 5
tracer,Tier 5
trigger_system,Tier 5
truncate_test,Tier 5
tsdownconfig,Tier 5
tui,Tier 5
types_7,Tier 5
utils,Tier 1
validate,Tier 5
validate-authentication,Tier 5
validation-harness,Tier 5
vulnerability-triage,Tier 5
Web,Tier 5
webshell_context,Tier 5
webshell_context_test,Tier 5
webshell_probe,Tier 5
wechat,Tier 5
wireless_agent,Tier 5
workflow-logger,Tier 5
workflow_engine,Tier 5
_14,Tier 5
_rules_1,Tier 5
_target_1,Tier 5
__init___109,Tier 5
__init___11,Tier 5
__init___141,Tier 5
__init___144,Tier 5
__init___17,Tier 5
__init___202,Tier 5
__init___211,Tier 5
__init___29,Tier 5
__init___31,Tier 5
__init___50,Tier 5
__init___52,Tier 5
__init___6,Tier 5
__init___70,Tier 5
activities,Tier 5
agent-execution,Tier 5
agents,Tier 4
agent_runner,Tier 5
agent_test,Tier 5
anthropic_agent,Tier 5
anthropic_official,Tier 5
api,Tier 5
api-discoverer-agent,Tier 5
api-discovery,Tier 5
api-discoverytest,Tier 5
api-docs,Tier 5
api-schema-analyzer,Tier 5
apitest,Tier 5
api_authentication,Tier 5
api_pipeline,Tier 5
app,Tier 1
app_2,Tier 5
app_config,Tier 5
asvs-mapper,Tier 5
async_prompt,Tier 5
attackchain,Tier 5
audit_1,Tier 5
aup_consent,Tier 5
auth,Tier 1
auth_analyzer,Tier 5
auth_cache,Tier 5
backend,Tier 5
banner_analyzer,Tier 5
billing-detection,Tier 5
build,Tier 5
build-mvn,Tier 5
burp_client,Tier 5
burp_commands,Tier 5
business-logic-agent,Tier 5
c2_lifecycle,Tier 5
c2_tools,Tier 5
captcha_replay,Tier 5
chain,Tier 5
chat-files,Tier 5
chatgpt,Tier 5
chatgpt_api,Tier 5
chatgpt_config_sample,Tier 5
chat_config,Tier 5
checkpoint,Tier 5
checkpoint-manager,Tier 5
citations,Tier 5
clair,Tier 5
claude_bridge,Tier 5
CODE_OF_CONDUCT,Tier 5
config-loader,Tier 5
config_2,Tier 2
config_5,Tier 5
config_6,Tier 5
conftest,Tier 5
constants,Tier 5
content_fingerprint,Tier 5
CONTRIBUTING_2,Tier 5
CONTRIBUTING_3,Tier 5
CONTRIBUTING_4,Tier 5
conversation,Tier 5
cors-probe-agent,Tier 5
cors_reflection,Tier 5
cortex,Tier 5
coupon_forging,Tier 5
credential_detector,Tier 5
cve_db,Tier 5
cve_poc_primitives,Tier 5
cvss-calculator,Tier 5
CyberStrikeAIClient,Tier 5
CyberStrikeAIClientAgentMode,Tier 5
dark-matter,Tier 5
dark-mattertest,Tier 5
dashboard_2,Tier 5
DATA-PRIVACY,Tier 5
datasrcs,Tier 5
debug,Tier 5
DECISION,Tier 5
deepseek,Tier 5
deepseek_api,Tier 5
default_single_system_prompt,Tier 5
DEPLOYMENT,Tier 5
deserialization,Tier 5
documentation-agent,Tier 5
doc_3,Tier 5
DPA,Tier 5
eino,Tier 5
eino_single_runner,Tier 5
eino_test,Tier 5
eino_transient_retry,Tier 5
eino_transient_retry_test,Tier 5
embedding,Tier 5
endpoint_classifier,Tier 5
engineapi_test,Tier 5
envexpand_test,Tier 5
env_2,Tier 5
env_4,Tier 5
error-handling,Tier 5
ErrorPatternAnalyzertest,Tier 5
errors,Tier 5
evidence,Tier 1
executor_2,Tier 5
exploit-authz_1,Tier 5
exploit-authz_3,Tier 5
express-scaffold,Tier 5
external_mcp_test,Tier 5
extract_cookie,Tier 5
facebook,Tier 5
feature-collector,Tier 5
forced_error,Tier 5
frontend-i18n,Tier 5
gemini,Tier 5
gemini_api,Tier 5
getting-started,Tier 5
gpt4all_api,Tier 5
graphql,Tier 5
graphql-scanner,Tier 5
graphql_introspection,Tier 5
graphql_tool,Tier 5
hackertarget,Tier 5
harness,Tier 5
hidden_discovery,Tier 5
hitl,Tier 5
host_header_reset_poisoning,Tier 5
HTTPMethodAnalyzertest,Tier 5
http_extractor,Tier 5
idor_authenticated,Tier 5
idor_authz_differential,Tier 5
indexer,Tier 5
index_1,Tier 5
index_13,Tier 5
index_17,Tier 5
inference,Tier 5
inferencetest,Tier 5
install-git-hooks,Tier 5
