Capability,Repositories,Recommendation,Reason
Utilities,activity_feed,Archive,Duplicate/Lower score
Utilities,app_3,Archive,Duplicate/Lower score
Utilities,attach,Archive,Duplicate/Lower score
Utilities,attach_test,Archive,Duplicate/Lower score
Utilities,audit,Archive,Duplicate/Lower score
Utilities,audit-logger,Archive,Duplicate/Lower score
Utilities,audit-session,Archive,Duplicate/Lower score
Utilities,base_1,Archive,Duplicate/Lower score
Utilities,base_tool,Archive,Duplicate/Lower score
Utilities,batch_task,Archive,Duplicate/Lower score
Utilities,batch_task_manager,Archive,Duplicate/Lower score
Utilities,batch_task_mcp,Archive,Duplicate/Lower score
Utilities,beacongo,Archive,Duplicate/Lower score
Utilities,bug,Archive,Duplicate/Lower score
Utilities,BurpExtender,Archive,Duplicate/Lower score
Utilities,BurpExtender1,Archive,Duplicate/Lower score
Utilities,c2_hitl_bridge,Archive,Duplicate/Lower score
Utilities,CLAUDE,Archive,Duplicate/Lower score
Utilities,claude_reasoning_roundtrip,Archive,Duplicate/Lower score
Utilities,claude_reasoning_roundtrip_test,Archive,Duplicate/Lower score
Utilities,cleanup-rollback,Archive,Duplicate/Lower score
Utilities,client,Archive,Duplicate/Lower score
Utilities,config_3,Archive,Duplicate/Lower score
Utilities,content,Archive,Duplicate/Lower score
Utilities,controller,Archive,Duplicate/Lower score
Utilities,corpus,Archive,Duplicate/Lower score
Utilities,cost,Archive,Duplicate/Lower score
Utilities,createdFiles,Archive,Duplicate/Lower score
Utilities,CTF,Archive,Duplicate/Lower score
Utilities,dashboard,Archive,Duplicate/Lower score
Utilities,default,Archive,Duplicate/Lower score
Utilities,default_1,Archive,Duplicate/Lower score
Utilities,dependency_graph,Archive,Duplicate/Lower score
Utilities,detector,Archive,Duplicate/Lower score
Utilities,development,Archive,Duplicate/Lower score
Utilities,eino_execute_monitor,Archive,Duplicate/Lower score
Utilities,eino_execute_streaming_wrap,Archive,Duplicate/Lower score
Utilities,eino_exit_fallback_test,Archive,Duplicate/Lower score
Utilities,eino_filesystem_tool_monitor,Archive,Duplicate/Lower score
Utilities,eino_input_telemetry,Archive,Duplicate/Lower score
Utilities,eino_middleware,Archive,Duplicate/Lower score
Utilities,eino_middleware_test,Archive,Duplicate/Lower score
Utilities,eino_model_facing_trace,Archive,Duplicate/Lower score
Utilities,eino_model_rewrite_pipeline,Archive,Duplicate/Lower score
Utilities,eino_orchestration,Archive,Duplicate/Lower score
Utilities,eino_resume_segment,Archive,Duplicate/Lower score
Utilities,eino_skills,Archive,Duplicate/Lower score
Utilities,eino_sse_sanitizer,Archive,Duplicate/Lower score
Utilities,eino_sse_sanitizer_test,Archive,Duplicate/Lower score
Utilities,eino_summarize,Archive,Duplicate/Lower score
Utilities,eino_summarize_test,Archive,Duplicate/Lower score
Utilities,engagement-planning,Archive,Duplicate/Lower score
Utilities,EQBSL-Primer,Archive,Duplicate/Lower score
Utilities,events,Archive,Duplicate/Lower score
Utilities,events_1,Archive,Duplicate/Lower score
Utilities,EvidenceCommand,Archive,Duplicate/Lower score
Utilities,eyewitness,Archive,Duplicate/Lower score
Utilities,feature,Archive,Duplicate/Lower score
Utilities,feature_2,Archive,Duplicate/Lower score
Utilities,formatting,Archive,Duplicate/Lower score
Utilities,frontmatter,Archive,Duplicate/Lower score
Utilities,generate-totp,Archive,Duplicate/Lower score
Utilities,git-manager,Archive,Duplicate/Lower score
Utilities,group,Archive,Duplicate/Lower score
Utilities,hitl_context,Archive,Duplicate/Lower score
Utilities,hitl_middleware,Archive,Duplicate/Lower score
Utilities,holder,Archive,Duplicate/Lower score
Utilities,HttpMessageFormatter,Archive,Duplicate/Lower score
Utilities,impact-exfiltration,Archive,Duplicate/Lower score
Utilities,index,Archive,Duplicate/Lower score
Utilities,index_12,Archive,Duplicate/Lower score
Utilities,index_3,Archive,Duplicate/Lower score
Utilities,index_4,Archive,Duplicate/Lower score
Utilities,index_9,Archive,Duplicate/Lower score
Utilities,install_preferences,Archive,Duplicate/Lower score
Utilities,interrupt,Archive,Duplicate/Lower score
Utilities,lateral-movement,Archive,Duplicate/Lower score
Utilities,layout,Archive,Duplicate/Lower score
Utilities,listener_tcp,Archive,Duplicate/Lower score
Utilities,log-stream,Archive,Duplicate/Lower score
Utilities,logger,Archive,Duplicate/Lower score
Utilities,logger_1,Archive,Duplicate/Lower score
Utilities,login-instructions,Archive,Duplicate/Lower score
Utilities,login-instructions_1,Archive,Duplicate/Lower score
Utilities,logo,Archive,Duplicate/Lower score
Utilities,markdown_orchestrator_test,Archive,Duplicate/Lower score
Utilities,mcp_tools,Archive,Duplicate/Lower score
Utilities,memory,Archive,Duplicate/Lower score
Utilities,metrics,Archive,Duplicate/Lower score
Utilities,models,Archive,Duplicate/Lower score
Utilities,model_manager,Archive,Duplicate/Lower score
Utilities,navigator,Archive,Duplicate/Lower score
Utilities,normalize_streaming_delta_test,Archive,Duplicate/Lower score
Utilities,normalize_streaming_eof_test,Archive,Duplicate/Lower score
Utilities,opsec-evasion,Archive,Duplicate/Lower score
Utilities,orchestratortest,Archive,Duplicate/Lower score
Utilities,orchestrator_instruction,Archive,Duplicate/Lower score
Utilities,orphan_tool_pruner_middleware_test,Archive,Duplicate/Lower score
Utilities,otel,Archive,Duplicate/Lower score
Utilities,package-lock_1,Archive,Duplicate/Lower score
Utilities,package_2,Archive,Duplicate/Lower score
Utilities,package_4,Archive,Duplicate/Lower score
Utilities,paths_1,Archive,Duplicate/Lower score
Utilities,payload_builder,Archive,Duplicate/Lower score
Utilities,PentestGPT_design,Archive,Duplicate/Lower score
Utilities,plan_execute_executor,Archive,Duplicate/Lower score
Utilities,plan_execute_steps_cap,Archive,Duplicate/Lower score
Utilities,plan_execute_steps_cap_test,Archive,Duplicate/Lower score
Utilities,plan_execute_text,Archive,Duplicate/Lower score
Utilities,plan_execute_text_test,Archive,Duplicate/Lower score
Utilities,plugin_3,Archive,Duplicate/Lower score
Utilities,plugin_center,Archive,Duplicate/Lower score
Utilities,pnpm-workspace,Archive,Duplicate/Lower score
Utilities,pre-commit-config,Archive,Duplicate/Lower score
Utilities,pre-recon-code_3,Archive,Duplicate/Lower score
Utilities,privilege-escalation,Archive,Duplicate/Lower score
Utilities,production,Archive,Duplicate/Lower score
Utilities,progress-manager,Archive,Duplicate/Lower score
Utilities,prompt-manager,Archive,Duplicate/Lower score
Utilities,prompts,Archive,Duplicate/Lower score
Utilities,prompt_select,Archive,Duplicate/Lower score
Utilities,README_14,Archive,Duplicate/Lower score
Utilities,README_34,Archive,Duplicate/Lower score
Utilities,README_35,Archive,Duplicate/Lower score
Utilities,README_40,Archive,Duplicate/Lower score
Utilities,reasoning_trace,Archive,Duplicate/Lower score
Utilities,reasoning_trace_test,Archive,Duplicate/Lower score
Utilities,reconftw_prox_deploy,Archive,Duplicate/Lower score
Utilities,recon_3,Archive,Duplicate/Lower score
Utilities,registry_4,Archive,Duplicate/Lower score
Utilities,registry_8,Archive,Duplicate/Lower score
Utilities,registry_bridge,Archive,Duplicate/Lower score
Utilities,report-output-provider,Archive,Duplicate/Lower score
Utilities,reporting-remediation,Archive,Duplicate/Lower score
Utilities,result,Archive,Duplicate/Lower score
Utilities,role,Archive,Duplicate/Lower score
Utilities,router,Archive,Duplicate/Lower score
Utilities,runner_reasoning_history_test,Archive,Duplicate/Lower score
Utilities,run_context,Archive,Duplicate/Lower score
Utilities,save-deliverable,Archive,Duplicate/Lower score
Utilities,service_1,Archive,Duplicate/Lower score
Utilities,settings_3,Archive,Duplicate/Lower score
Utilities,settings_4,Archive,Duplicate/Lower score
Utilities,skills,Archive,Duplicate/Lower score
Utilities,splash,Archive,Duplicate/Lower score
Utilities,sse_stream,Archive,Duplicate/Lower score
Utilities,styles,Archive,Duplicate/Lower score
Utilities,summary-mapper,Archive,Duplicate/Lower score
Utilities,task_handler,Archive,Duplicate/Lower score
Utilities,task_manager,Archive,Duplicate/Lower score
Utilities,task_processor,Archive,Duplicate/Lower score
Utilities,task_tree_manager,Archive,Duplicate/Lower score
Utilities,test-multibar,Archive,Duplicate/Lower score
Utilities,test_async_prompt,Archive,Duplicate/Lower score
Utilities,test_backend_interface,Archive,Duplicate/Lower score
Utilities,test_controller,Archive,Duplicate/Lower score
Utilities,test_cost_tracker,Archive,Duplicate/Lower score
Utilities,test_events,Archive,Duplicate/Lower score
Utilities,test_install_planner,Archive,Duplicate/Lower score
Utilities,test_integration,Archive,Duplicate/Lower score
Utilities,test_langfuse,Archive,Duplicate/Lower score
Utilities,test_mcp_auth_session_reuse,Archive,Duplicate/Lower score
Utilities,test_mcp_client_and_hitl,Archive,Duplicate/Lower score
Utilities,test_mcp_server,Archive,Duplicate/Lower score
Utilities,test_output_parser,Archive,Duplicate/Lower score
Utilities,test_playbook,Archive,Duplicate/Lower score
Utilities,test_stage2_integration,Archive,Duplicate/Lower score
Utilities,test_trigger_system,Archive,Duplicate/Lower score
Utilities,tmux_manager,Archive,Duplicate/Lower score
Utilities,tool_error_middleware,Archive,Duplicate/Lower score
Utilities,tool_error_middleware_test,Archive,Duplicate/Lower score
