Plugin,tool.yaml,README.md,adapter.py,schema.py,parser.py,tests,Status
activity_feed,True,False,False,False,False,False,Metadata Only
ad_agent,True,False,False,False,False,False,Metadata Only
agent_1,True,False,False,False,False,False,Metadata Only
agent_trace,True,False,False,False,False,False,Metadata Only
agent_trace_test,True,False,False,False,False,False,Metadata Only
app_3,True,False,False,False,False,False,Metadata Only
attach,True,False,False,False,False,False,Metadata Only
attach_test,True,False,False,False,False,False,Metadata Only
audit,True,False,False,False,False,False,Metadata Only
audit-logger,True,False,False,False,False,False,Metadata Only
audit-session,True,False,False,False,False,False,Metadata Only
base-agent,True,False,False,False,False,False,Metadata Only
base_1,True,False,False,False,False,False,Metadata Only
base_tool,True,False,False,False,False,False,Metadata Only
batch_task,True,False,False,False,False,False,Metadata Only
batch_task_manager,True,False,False,False,False,False,Metadata Only
batch_task_mcp,True,False,False,False,False,False,Metadata Only
beacongo,True,False,False,False,False,False,Metadata Only
bug,True,False,False,False,False,False,Metadata Only
BurpExtender,True,False,False,False,False,False,Metadata Only
BurpExtender1,True,False,False,False,False,False,Metadata Only
c2_hitl_bridge,True,False,False,False,False,False,Metadata Only
CLAUDE,True,False,False,False,False,False,Metadata Only
claude_reasoning_roundtrip,True,False,False,False,False,False,Metadata Only
claude_reasoning_roundtrip_test,True,False,False,False,False,False,Metadata Only
cleanup-rollback,True,False,False,False,False,False,Metadata Only
client,True,False,False,False,False,False,Metadata Only
cmdi-agent,True,False,False,False,False,False,Metadata Only
config,True,False,False,False,False,False,Metadata Only
config_3,True,False,False,False,False,False,Metadata Only
content,True,False,False,False,False,False,Metadata Only
controller,True,False,False,False,False,False,Metadata Only
corpus,True,False,False,False,False,False,Metadata Only
cost,True,False,False,False,False,False,Metadata Only
createdFiles,True,False,False,False,False,False,Metadata Only
CTF,True,False,False,False,False,False,Metadata Only
cyberstrikeai-burp-extension-100,True,False,False,False,False,False,Metadata Only
CyberStrikeAIClientConfig,True,False,False,False,False,False,Metadata Only
