Plugin,ExecutionResult
404starlinklogo,ERROR
agent-management,ERROR
agents-for,ERROR
ai_analysis,ERROR
alterations,ERROR
announcements,ERROR
aup,ERROR
auth_profiles,ERROR
aws,ERROR
aws_recon,ERROR
aws_sm,ERROR
azure,ERROR
azure_recon,ERROR
banner_2,ERROR
benchmark_runner,ERROR
bizlogic-hunter,ERROR
bucket_correlator,ERROR
bug_report,ERROR
ccr-config-template,ERROR
chat,ERROR
chatgpt_config_curl,ERROR
chatgpt_key,ERROR
checkov,ERROR
ci_1,ERROR
ci_cd_cloud,ERROR
ci_cd_cloud_mapper,ERROR
claude-executor,ERROR
claude_2,ERROR
claude_3,ERROR
clear,ERROR
cli,ERROR
cloud-security,ERROR
cloudfront_mapper,ERROR
cloudmapper,ERROR
cloud_agent,ERROR
cloud_attack_surface,ERROR
cloud_enum,ERROR
cloud_fingerprint,ERROR
cloud_models,ERROR
cloud_pipeline,ERROR
cloud_storage,ERROR
conftest_2,ERROR
container-breakout,ERROR
customization,ERROR
cyberstrikeaitab,ERROR
dec-2025,ERROR
demo,ERROR
demo_1,ERROR
dependabot_3,ERROR
devcontainer,ERROR
disclaimer,ERROR
docker,ERROR
docker-compose,ERROR
docker-compose_1,ERROR
docker-compose_2,ERROR
docker-compose_3,ERROR
dockerfile_4,ERROR
dockerfile_7,ERROR
dockerfile_9,ERROR
docker_2,ERROR
docker_manager,ERROR
docker_nightly,ERROR
docker_registry_analyzer,ERROR
domains,ERROR
embedder,ERROR
engagement-planner,ERROR
entrypoint,ERROR
env,ERROR
env_3,ERROR
example-stig-finding,ERROR
executor_test,ERROR
exploit-auth,ERROR
exploit-authz,ERROR
exploit-authz_2,ERROR
exploit-auth_2,ERROR
exploit-injection,ERROR
exploit-xss,ERROR
exploit-xss_2,ERROR
export_menu,ERROR
factory,ERROR
fill-legal,ERROR
fingerprinter,ERROR
fingerprintertest,ERROR
fix-workspace-permissions,ERROR
gcp,ERROR
gcp_recon,ERROR
github-banner,ERROR
gitleaks,ERROR
go_2,ERROR
graphw00f,ERROR
hexstrike-logo,ERROR
home,ERROR
index_5,ERROR
javascript,ERROR
js-harvester-agent,ERROR
kube-bench,ERROR
kube-hunter,ERROR
kubernetes,ERROR
launch-config,ERROR
leaksapi-banner,ERROR
leaksapi-logo,ERROR
license_5,ERROR
litellm_provider,ERROR
logo_3,ERROR
main_13,ERROR
main_menu,ERROR
makefile,ERROR
mindmap_obsidian,ERROR
misconfig-detector,ERROR
misconfigtest,ERROR
mobile-pentester,ERROR
mode,ERROR
orchestrator,ERROR
outputs,ERROR
package_3,ERROR
pacu,ERROR
pentestgpt_executor,ERROR
pentestgpt_hackable2,ERROR
plugins,ERROR
pnpm-lock,ERROR
poc-validator,ERROR
pre-recon-code,ERROR
privesc-advisor,ERROR
privesc_agent,ERROR
prowler,ERROR
pyproject_3,ERROR
quick-start,ERROR
readme_21,ERROR
readme_22,ERROR
readme_28,ERROR
readme_29,ERROR
readme_30,ERROR
reconcloud,ERROR
reconx,ERROR
release-beta,ERROR
release_1,ERROR
requirements_7,ERROR
resolver,ERROR
results,ERROR
role-management,ERROR
rollback,ERROR
rsecloud,ERROR
s3scanner,ERROR
s3_scanner,ERROR
sarif,ERROR
scan_pipeline,ERROR
scan_running,ERROR
scout-suite,ERROR
screenshot2,ERROR
screenshot3,ERROR
screenshot4,ERROR
secret-scanner-agent,ERROR
secure_credential,ERROR
security,ERROR
security_3,ERROR
selection_agent,ERROR
server_mcp_pentest_18,ERROR
service_analyzer,ERROR
service_correlator_1,ERROR
settings_2,ERROR
setup,ERROR
setup_1,ERROR
shannon-banner,ERROR
shannon-pro_1,ERROR
shannon-report-capital-api,ERROR
shannon-screen,ERROR
shodan,ERROR
six2dez_reconftw-stars-history,ERROR
skill_1,ERROR
skill_14,ERROR
skill_16,ERROR
skill_17,ERROR
skill_4,ERROR
social-engineer,ERROR
sponsor-wechat-alipay-qr,ERROR
ssrf_cloud_metadata,ERROR
ssrf_payloads,ERROR
stop,ERROR
tch,ERROR
tcp_beacon_server,ERROR
teardown,ERROR
techdetect,ERROR
terraform-reconftw,ERROR
test_ad_agent_e2e_smoke,ERROR
test_agents,ERROR
test_benchmark_cli,ERROR
test_chain_context_discriminator,ERROR
test_cli_menu,ERROR
test_cloud_agent_e2e_smoke,ERROR
test_container_health,ERROR
test_docker_build,ERROR
test_flag_detection,ERROR
test_litellm_provider,ERROR
test_misc_coverage_2,ERROR
