Plugin,Category,Repository,FileCount,Status,Notes
404starlinklogo,cloud,404StarLinkLogo,2,STUB,Placeholder code detected
agent-management,cloud,agent-management,2,STUB,Placeholder code detected
agents-for,cloud,agents-for,2,STUB,Placeholder code detected
ai_analysis,cloud,ai_analysis,2,STUB,Placeholder code detected
alterations,cloud,alterations,2,STUB,Placeholder code detected
announcements,cloud,announcements,2,STUB,Placeholder code detected
aup,cloud,AUP,2,STUB,Placeholder code detected
auth_profiles,cloud,auth_profiles,2,STUB,Placeholder code detected
aws,cloud,aws,2,STUB,Placeholder code detected
aws_recon,cloud,aws_recon,2,STUB,Placeholder code detected
aws_sm,cloud,aws_sm,2,STUB,Placeholder code detected
azure,cloud,azure,2,STUB,Placeholder code detected
azure_recon,cloud,azure_recon,2,STUB,Placeholder code detected
banner_2,cloud,banner_2,2,STUB,Placeholder code detected
benchmark_runner,cloud,benchmark_runner,2,STUB,Placeholder code detected
bizlogic-hunter,cloud,bizlogic-hunter,2,STUB,Placeholder code detected
bucket_correlator,cloud,bucket_correlator,2,STUB,Placeholder code detected
bug_report,cloud,bug_report,2,STUB,Placeholder code detected
ccr-config-template,cloud,ccr-config-template,2,STUB,Placeholder code detected
chat,cloud,chat,2,STUB,Placeholder code detected
chatgpt_config_curl,cloud,chatgpt_config_curl,2,STUB,Placeholder code detected
chatgpt_key,cloud,ChatGPT_key,2,STUB,Placeholder code detected
checkov,cloud,checkov,2,STUB,Placeholder code detected
ci_1,cloud,ci_1,2,STUB,Placeholder code detected
ci_cd_cloud,cloud,ci_cd_cloud,2,STUB,Placeholder code detected
ci_cd_cloud_mapper,cloud,ci_cd_cloud_mapper,2,STUB,Placeholder code detected
claude-executor,cloud,claude-executor,2,STUB,Placeholder code detected
claude_2,cloud,CLAUDE_2,2,STUB,Placeholder code detected
claude_3,cloud,CLAUDE_3,2,STUB,Placeholder code detected
clear,cloud,clear,2,STUB,Placeholder code detected
cli,cloud,cli,2,STUB,Placeholder code detected
cloud-security,cloud,cloud-security,2,STUB,Placeholder code detected
cloudfront_mapper,cloud,cloudfront_mapper,2,STUB,Placeholder code detected
cloudmapper,cloud,cloudmapper,2,STUB,Placeholder code detected
cloud_agent,cloud,cloud_agent,2,STUB,Placeholder code detected
cloud_attack_surface,cloud,cloud_attack_surface,2,STUB,Placeholder code detected
cloud_enum,cloud,cloud_enum,1,BROKEN,SyntaxError
cloud_fingerprint,cloud,cloud_fingerprint,2,STUB,Placeholder code detected
cloud_models,cloud,cloud_models,2,STUB,Placeholder code detected
