Repository,Score (%),Status
activity_feed,35,Metadata Only
ad_agent,35,Metadata Only
agent_1,35,Metadata Only
agent_trace,35,Metadata Only
agent_trace_test,35,Metadata Only
app_3,35,Metadata Only
attach,35,Metadata Only
attach_test,35,Metadata Only
audit,35,Metadata Only
audit-logger,35,Metadata Only
audit-session,35,Metadata Only
base-agent,35,Metadata Only
base_1,35,Metadata Only
base_tool,35,Metadata Only
batch_task,35,Metadata Only
batch_task_manager,35,Metadata Only
batch_task_mcp,35,Metadata Only
beacongo,15,Metadata Only
bug,15,Metadata Only
BurpExtender,15,Metadata Only
BurpExtender1,15,Metadata Only
c2_hitl_bridge,35,Metadata Only
CLAUDE,15,Metadata Only
claude_reasoning_roundtrip,35,Metadata Only
claude_reasoning_roundtrip_test,35,Metadata Only
cleanup-rollback,15,Metadata Only
client,35,Metadata Only
cmdi-agent,35,Metadata Only
config,15,Metadata Only
config_3,35,Metadata Only
content,35,Metadata Only
controller,35,Metadata Only
corpus,35,Metadata Only
cost,35,Metadata Only
createdFiles,15,Metadata Only
CTF,15,Metadata Only
cyberstrikeai-burp-extension-100,15,Metadata Only
CyberStrikeAIClientConfig,15,Metadata Only
CyberStrikeAITabTestRun,15,Metadata Only
CyberStrikeAITabTestRunCellRenderer,15,Metadata Only
dashboard,15,Metadata Only
default,15,Metadata Only
default_1,15,Metadata Only
dependency_graph,35,Metadata Only
detector,35,Metadata Only
development,15,Metadata Only
eino_checkpoint,35,Metadata Only
eino_execute_monitor,35,Metadata Only
eino_execute_streaming_wrap,35,Metadata Only
eino_exit_fallback_test,35,Metadata Only
eino_filesystem_tool_monitor,35,Metadata Only
eino_input_telemetry,35,Metadata Only
eino_middleware,35,Metadata Only
eino_middleware_test,35,Metadata Only
eino_model_facing_trace,35,Metadata Only
eino_model_rewrite_pipeline,35,Metadata Only
eino_orchestration,35,Metadata Only
eino_resume_segment,35,Metadata Only
eino_single_agent,35,Metadata Only
eino_skills,35,Metadata Only
eino_sse_sanitizer,35,Metadata Only
eino_sse_sanitizer_test,35,Metadata Only
eino_summarize,35,Metadata Only
eino_summarize_test,35,Metadata Only
engagement-planning,15,Metadata Only
EQBSL-Primer,15,Metadata Only
events,35,Metadata Only
events_1,35,Metadata Only
EvidenceCommand,35,Metadata Only
eyewitness,35,Metadata Only
feature,15,Metadata Only
feature_2,15,Metadata Only
formatting,35,Metadata Only
frontmatter,35,Metadata Only
generate-totp,35,Metadata Only
git-manager,35,Metadata Only
ground-truth-agent,35,Metadata Only
group,35,Metadata Only
hitl_context,35,Metadata Only
hitl_middleware,35,Metadata Only
holder,35,Metadata Only
HttpMessageFormatter,15,Metadata Only
impact-exfiltration,15,Metadata Only
index,35,Metadata Only
index_12,35,Metadata Only
index_3,15,Metadata Only
index_4,35,Metadata Only
index_9,35,Metadata Only
install_preferences,35,Metadata Only
interrupt,35,Metadata Only
lateral-movement,15,Metadata Only
layout,35,Metadata Only
listener_tcp,35,Metadata Only
log-stream,35,Metadata Only
logger,35,Metadata Only
logger_1,35,Metadata Only
login-instructions,15,Metadata Only
login-instructions_1,15,Metadata Only
logo,15,Metadata Only
main_12,35,Metadata Only
main_3,35,Metadata Only
main_8,35,Metadata Only
markdown_orchestrator_test,35,Metadata Only
mcp_pent_claude_agent,35,Metadata Only
mcp_tools,35,Metadata Only
memory,15,Metadata Only
metrics,35,Metadata Only
models,35,Metadata Only
model_manager,35,Metadata Only
multi_agent_prepare,35,Metadata Only
navigator,35,Metadata Only
normalize_streaming_delta_test,35,Metadata Only
normalize_streaming_eof_test,35,Metadata Only
opsec-evasion,15,Metadata Only
orchestratortest,35,Metadata Only
orchestrator_instruction,35,Metadata Only
orphan_tool_pruner_middleware_test,35,Metadata Only
otel,35,Metadata Only
package-lock_1,15,Metadata Only
package_2,15,Metadata Only
package_4,15,Metadata Only
paths_1,35,Metadata Only
payload_builder,35,Metadata Only
PentestGPT_design,15,Metadata Only
persistence-maintenance,15,Metadata Only
plan_execute_executor,35,Metadata Only
plan_execute_steps_cap,35,Metadata Only
plan_execute_steps_cap_test,35,Metadata Only
plan_execute_text,35,Metadata Only
plan_execute_text_test,35,Metadata Only
plugin_3,35,Metadata Only
plugin_center,35,Metadata Only
pnpm-workspace,15,Metadata Only
portscan-all-tcp-ports,35,Metadata Only
portscan-top-100-udp-ports,35,Metadata Only
pre-commit-config,15,Metadata Only
pre-recon-code_3,15,Metadata Only
privilege-escalation,15,Metadata Only
production,15,Metadata Only
progress-manager,35,Metadata Only
prompt-manager,35,Metadata Only
prompts,35,Metadata Only
prompt_select,35,Metadata Only
README_14,15,Metadata Only
README_34,15,Metadata Only
README_35,15,Metadata Only
README_40,15,Metadata Only
reasoning_trace,35,Metadata Only
reasoning_trace_test,35,Metadata Only
reconftw_prox_deploy,55,Partially Recovered
recon_3,15,Metadata Only
registry_4,35,Metadata Only
registry_8,35,Metadata Only
registry_bridge,35,Metadata Only
remediation-agent,35,Metadata Only
report-output-provider,35,Metadata Only
reporting-remediation,15,Metadata Only
report_agent,35,Metadata Only
result,35,Metadata Only
role,35,Metadata Only
router,35,Metadata Only
runner_reasoning_history_test,35,Metadata Only
run_context,35,Metadata Only
save-deliverable,35,Metadata Only
service_1,35,Metadata Only
settings_3,35,Metadata Only
settings_4,35,Metadata Only
skills,35,Metadata Only
splash,35,Metadata Only
sse_stream,35,Metadata Only
styles,15,Metadata Only
summary-mapper,35,Metadata Only
task_handler,35,Metadata Only
task_manager,35,Metadata Only
task_processor,35,Metadata Only
task_tree_manager,35,Metadata Only
test-multibar,15,Metadata Only
test_async_prompt,35,Metadata Only
test_backend_interface,35,Metadata Only
test_base_agent_coverage,35,Metadata Only
test_controller,35,Metadata Only
test_cost_tracker,35,Metadata Only
test_events,35,Metadata Only
test_install_planner,35,Metadata Only
test_integration,55,Partially Recovered
test_langfuse,35,Metadata Only
test_mcp_auth_session_reuse,35,Metadata Only
test_mcp_client_and_hitl,35,Metadata Only
test_mcp_server,35,Metadata Only
test_output_parser,35,Metadata Only
test_playbook,35,Metadata Only
test_stage2_integration,35,Metadata Only
test_trigger_system,35,Metadata Only
test_web_agent_set_auth,35,Metadata Only
tmux_manager,35,Metadata Only
tool_error_middleware,35,Metadata Only
tool_error_middleware_test,35,Metadata Only
tool_invoke_notify,35,Metadata Only
tracer,35,Metadata Only
trigger_system,35,Metadata Only
truncate_test,35,Metadata Only
tsdownconfig,35,Metadata Only
tui,35,Metadata Only
types_7,35,Metadata Only
utils,35,Metadata Only
validate,35,Metadata Only
validate-authentication,15,Metadata Only
validation-harness,35,Metadata Only
vulnerability-triage,15,Metadata Only
Web,15,Metadata Only
webshell_context,35,Metadata Only
webshell_context_test,35,Metadata Only
webshell_probe,35,Metadata Only
wechat,35,Metadata Only
wireless_agent,35,Metadata Only
workflow-logger,35,Metadata Only
workflow_engine,35,Metadata Only
_14,15,Metadata Only
_rules_1,15,Metadata Only
_target_1,15,Metadata Only
__init___109,35,Metadata Only
__init___11,35,Metadata Only
__init___141,35,Metadata Only
__init___144,35,Metadata Only
__init___17,35,Metadata Only
__init___202,35,Metadata Only
__init___211,35,Metadata Only
__init___29,35,Metadata Only
__init___31,35,Metadata Only
__init___50,35,Metadata Only
__init___52,35,Metadata Only
__init___6,35,Metadata Only
__init___70,35,Metadata Only
activities,35,Metadata Only
agent-execution,35,Metadata Only
agents,35,Metadata Only
agent_1,35,Metadata Only
agent_runner,35,Metadata Only
agent_test,35,Metadata Only
anthropic_agent,35,Metadata Only
anthropic_official,35,Metadata Only
api,35,Metadata Only
api-discoverer-agent,35,Metadata Only
api-discovery,35,Metadata Only
api-discoverytest,35,Metadata Only
api-docs,35,Metadata Only
api-schema-analyzer,15,Metadata Only
apitest,35,Metadata Only
api_authentication,15,Metadata Only
api_pipeline,35,Metadata Only
app,35,Metadata Only
app_2,35,Metadata Only
app_config,35,Metadata Only
asvs-mapper,35,Metadata Only
async_prompt,35,Metadata Only
attackchain,35,Metadata Only
audit,35,Metadata Only
audit-session,35,Metadata Only
audit_1,35,Metadata Only
aup_consent,35,Metadata Only
auth,35,Metadata Only
auth_analyzer,35,Metadata Only
auth_cache,35,Metadata Only
backend,35,Metadata Only
banner_analyzer,35,Metadata Only
billing-detection,35,Metadata Only
build,55,Partially Recovered
build-mvn,55,Partially Recovered
burp_client,35,Metadata Only
burp_commands,35,Metadata Only
business-logic-agent,35,Metadata Only
c2_lifecycle,35,Metadata Only
c2_tools,35,Metadata Only
captcha_replay,35,Metadata Only
chain,35,Metadata Only
chat-files,35,Metadata Only
chatgpt,35,Metadata Only
chatgpt_api,35,Metadata Only
chatgpt_config_sample,35,Metadata Only
chat_config,35,Metadata Only
checkpoint,35,Metadata Only
checkpoint-manager,35,Metadata Only
citations,15,Metadata Only
clair,15,Metadata Only
claude_bridge,35,Metadata Only
client,35,Metadata Only
CODE_OF_CONDUCT,15,Metadata Only
config,75,Partially Recovered
config-loader,35,Metadata Only
config_2,35,Metadata Only
config_5,35,Metadata Only
config_6,35,Metadata Only
conftest,35,Metadata Only
constants,35,Metadata Only
content_fingerprint,35,Metadata Only
CONTRIBUTING_2,15,Metadata Only
CONTRIBUTING_3,15,Metadata Only
CONTRIBUTING_4,15,Metadata Only
conversation,35,Metadata Only
corpus,15,Metadata Only
cors-probe-agent,35,Metadata Only
cors_reflection,35,Metadata Only
cortex,35,Metadata Only
coupon_forging,35,Metadata Only
credential_detector,35,Metadata Only
cve_db,35,Metadata Only
cve_poc_primitives,35,Metadata Only
cvss-calculator,35,Metadata Only
CyberStrikeAIClient,15,Metadata Only
CyberStrikeAIClientAgentMode,15,Metadata Only
dark-matter,35,Metadata Only
dark-mattertest,35,Metadata Only
dashboard,35,Metadata Only
dashboard_2,35,Metadata Only
DATA-PRIVACY,15,Metadata Only
datasrcs,35,Metadata Only
debug,15,Metadata Only
DECISION,15,Metadata Only
deepseek,35,Metadata Only
deepseek_api,35,Metadata Only
default_single_system_prompt,35,Metadata Only
DEPLOYMENT,15,Metadata Only
deserialization,35,Metadata Only
documentation-agent,35,Metadata Only
doc_3,35,Metadata Only
DPA,15,Metadata Only
eino,35,Metadata Only
eino_single_runner,35,Metadata Only
eino_test,35,Metadata Only
eino_transient_retry,35,Metadata Only
eino_transient_retry_test,35,Metadata Only
embedding,35,Metadata Only
endpoint_classifier,35,Metadata Only
engineapi_test,35,Metadata Only
envexpand_test,35,Metadata Only
env_2,15,Metadata Only
env_4,15,Metadata Only
error-handling,35,Metadata Only
ErrorPatternAnalyzertest,35,Metadata Only
errors,35,Metadata Only
evidence,35,Metadata Only
executor_2,35,Metadata Only
exploit-authz_1,15,Metadata Only
exploit-authz_3,15,Metadata Only
express-scaffold,35,Metadata Only
external_mcp_test,35,Metadata Only
extract_cookie,35,Metadata Only
facebook,35,Metadata Only
feature-collector,35,Metadata Only
forced_error,35,Metadata Only
frontend-i18n,15,Metadata Only
gemini,35,Metadata Only
gemini_api,35,Metadata Only
getting-started,15,Metadata Only
gpt4all_api,35,Metadata Only
graphql,15,Metadata Only
graphql-scanner,15,Metadata Only
graphql_introspection,35,Metadata Only
graphql_tool,35,Metadata Only
hackertarget,35,Metadata Only
harness,35,Metadata Only
hidden_discovery,35,Metadata Only
hitl,35,Metadata Only
host_header_reset_poisoning,35,Metadata Only
HTTPMethodAnalyzertest,35,Metadata Only
http_extractor,35,Metadata Only
idor_authenticated,35,Metadata Only
idor_authz_differential,35,Metadata Only
index,15,Metadata Only
indexer,35,Metadata Only
index_1,35,Metadata Only
index_13,35,Metadata Only
index_17,35,Metadata Only
index_3,35,Metadata Only
inference,35,Metadata Only
inferencetest,35,Metadata Only
install-git-hooks,55,Partially Recovered
INSTALL_2,15,Metadata Only
jina,35,Metadata Only
js-analysis,35,Metadata Only
juiceshop,35,Metadata Only
jwt_jku_x5u_ssrf,35,Metadata Only
knowledge,35,Metadata Only
knowledgejs,15,Metadata Only
knowledge_base,35,Metadata Only
langfuse,35,Metadata Only
lark,35,Metadata Only
ldap_injection,35,Metadata Only
legacy,35,Metadata Only
LICENSE,15,Metadata Only
LICENSE_1,15,Metadata Only
LICENSE_10,15,Metadata Only
LICENSE_12,15,Metadata Only
LICENSE_13,15,Metadata Only
LICENSE_2,15,Metadata Only
LICENSE_4,15,Metadata Only
LICENSE_6,15,Metadata Only
LICENSE_7,15,Metadata Only
LICENSE_9,15,Metadata Only
llm,35,Metadata Only
llm-analysis,15,Metadata Only
llm-client,35,Metadata Only
llm-clienttest,35,Metadata Only
llm-clienttest_1,35,Metadata Only
llm-client_1,35,Metadata Only
llm_api,35,Metadata Only
loader_1,35,Metadata Only
LOCAL-SETUP,15,Metadata Only
main_4,35,Metadata Only
main_5,35,Metadata Only
manager_2,35,Metadata Only
markdown,35,Metadata Only
MarkdownRenderer,15,Metadata Only
markdown_agents,35,Metadata Only
masscan,35,Metadata Only
masscan_2,15,Metadata Only
mass_assignment,35,Metadata Only
mcp_client,35,Metadata Only
mcp_manager,35,Metadata Only
mcp_setup,35,Metadata Only
memory_compressor,35,Metadata Only
message-handlers,35,Metadata Only
metrics-tracker,35,Metadata Only
models_1,35,Metadata Only
models_5,35,Metadata Only
module_import,35,Metadata Only
monitor,35,Metadata Only
multi_agent,35,Metadata Only
MULTI_AGENT_EINO,15,Metadata Only
nikto_tool,35,Metadata Only
nmap-irc,35,Metadata Only
notifications,35,Metadata Only
no_nested_task,35,Metadata Only
ollama_api,35,Metadata Only
openai,35,Metadata Only
openapi,15,Metadata Only
openapi-discovery-agent,35,Metadata Only
openapi_i18n,35,Metadata Only
openapi_parser,35,Metadata Only
open_ai,35,Metadata Only
oracle-patator,35,Metadata Only
orchestrator-plan-execute,15,Metadata Only
orchestrator-supervisor,15,Metadata Only
orphan_tool_pruner_middleware,35,Metadata Only
osrframework,35,Metadata Only
package_1,15,Metadata Only
package_5,15,Metadata Only
parameter_mapper,35,Metadata Only
password_reset_weak,35,Metadata Only
path_traversal,35,Metadata Only
penetration,15,Metadata Only
pentest-ai,15,Metadata Only
pentest_agent,35,Metadata Only
pentest_gpt,35,Metadata Only
pentest_gpt_rebuilt,35,Metadata Only
pent_claude_agent_config,15,Metadata Only
perplexity,35,Metadata Only
persistencetest,35,Metadata Only
playwright-config-writer,35,Metadata Only
plugin_loader_1,35,Metadata Only
poc_agent,35,Metadata Only
pom,15,Metadata Only
postman_parser,35,Metadata Only
pre-recon-code_2,15,Metadata Only
privilege_escalation_patch,35,Metadata Only
project_manager,35,Metadata Only
prototype_pollution,35,Metadata Only
pyproject,15,Metadata Only
quake_search,15,Metadata Only
queue,35,Metadata Only
race_condition,35,Metadata Only
reactive-verifier,35,Metadata Only
READMEzh-CN,15,Metadata Only
README_10,15,Metadata Only
README_11,15,Metadata Only
README_13,15,Metadata Only
README_15,15,Metadata Only
README_32,15,Metadata Only
README_33,15,Metadata Only
README_38,15,Metadata Only
