Repository,Primary Category,Secondary Category,Language,Recovery Score,Status
activity_feed,Utilities,Framework Components,Python,0.0,Wrapper Only
ad_agent,AI Agents,Automation,Python,0.0,Wrapper Only
agent_1,AI Agents,Automation,Python,0.0,Wrapper Only
agent_trace,AI Agents,Automation,Python,0.0,Wrapper Only
agent_trace_test,AI Agents,Automation,Python,0.0,Wrapper Only
app_3,Utilities,Framework Components,Python,0.0,Wrapper Only
attach,Utilities,Framework Components,Python,0.0,Wrapper Only
attach_test,Utilities,Framework Components,Python,0.0,Wrapper Only
audit,Utilities,Framework Components,Python,0.0,Wrapper Only
audit-logger,Utilities,Framework Components,Python,0.0,Wrapper Only
audit-session,Utilities,Framework Components,Python,0.0,Wrapper Only
base-agent,AI Agents,Automation,Python,0.0,Wrapper Only
base_1,Utilities,Framework Components,Python,0.0,Wrapper Only
base_tool,Utilities,Framework Components,Python,0.0,Wrapper Only
batch_task,Utilities,Framework Components,Python,0.0,Wrapper Only
batch_task_manager,Utilities,Framework Components,Python,0.0,Wrapper Only
batch_task_mcp,Utilities,Framework Components,Python,0.0,Wrapper Only
beacongo,Utilities,Framework Components,Python,0.0,Wrapper Only
bug,Utilities,Framework Components,Python,0.0,Wrapper Only
BurpExtender,Utilities,Framework Components,Python,0.0,Wrapper Only
BurpExtender1,Utilities,Framework Components,Python,0.0,Wrapper Only
c2_hitl_bridge,Utilities,Framework Components,Python,0.0,Wrapper Only
CLAUDE,Utilities,Framework Components,Python,0.0,Wrapper Only
claude_reasoning_roundtrip,Utilities,Framework Components,Python,0.0,Wrapper Only
claude_reasoning_roundtrip_test,Utilities,Framework Components,Python,0.0,Wrapper Only
cleanup-rollback,Utilities,Framework Components,Python,0.0,Wrapper Only
client,Utilities,Framework Components,Python,0.0,Wrapper Only
cmdi-agent,AI Agents,Automation,Python,0.0,Wrapper Only
config,Web Enumeration,Content Discovery,Python,15.0,Metadata Only
config_3,Utilities,Framework Components,Python,15.0,Wrapper Only
content,Utilities,Framework Components,Python,0.0,Wrapper Only
controller,Utilities,Framework Components,Python,0.0,Wrapper Only
corpus,Utilities,Framework Components,Python,0.0,Wrapper Only
cost,Utilities,Framework Components,Python,0.0,Wrapper Only
createdFiles,Utilities,Framework Components,Python,0.0,Wrapper Only
CTF,Utilities,Framework Components,Python,0.0,Wrapper Only
cyberstrikeai-burp-extension-100,AI Agents,Automation,Python,0.0,Wrapper Only
CyberStrikeAIClientConfig,AI Agents,Automation,Python,0.0,Wrapper Only
CyberStrikeAITabTestRun,AI Agents,Automation,Python,0.0,Wrapper Only
CyberStrikeAITabTestRunCellRenderer,AI Agents,Automation,Python,0.0,Wrapper Only
dashboard,Utilities,Framework Components,Python,15.0,Wrapper Only
