Repository,Location,Language,Status,Entry Point,Integration Type,Notes
activity_feed,plugins\ai_systems\activity_feed,Python,Metadata Only,,Plugin,
ad_agent,plugins\ai_systems\ad_agent,Python,Metadata Only,,Plugin,
agent_1,plugins\ai_systems\agent_1,Python,Metadata Only,,Plugin,
agent_trace,plugins\ai_systems\agent_trace,Python,Metadata Only,,Plugin,
agent_trace_test,plugins\ai_systems\agent_trace_test,Python,Metadata Only,,Plugin,
app_3,plugins\ai_systems\app_3,Python,Metadata Only,,Plugin,
attach,plugins\ai_systems\attach,Python,Metadata Only,,Plugin,
attach_test,plugins\ai_systems\attach_test,Python,Metadata Only,,Plugin,
audit,plugins\ai_systems\audit,Python,Metadata Only,,Plugin,
audit-logger,plugins\ai_systems\audit-logger,Python,Metadata Only,,Plugin,
audit-session,plugins\ai_systems\audit-session,Python,Metadata Only,,Plugin,
base-agent,plugins\ai_systems\base-agent,Python,Metadata Only,,Plugin,
base_1,plugins\ai_systems\base_1,Python,Metadata Only,,Plugin,
base_tool,plugins\ai_systems\base_tool,Python,Metadata Only,,Plugin,
batch_task,plugins\ai_systems\batch_task,Python,Metadata Only,,Plugin,
batch_task_manager,plugins\ai_systems\batch_task_manager,Python,Metadata Only,,Plugin,
batch_task_mcp,plugins\ai_systems\batch_task_mcp,Python,Metadata Only,,Plugin,
beacongo,plugins\ai_systems\beacongo,Python,Metadata Only,,Plugin,
bug,plugins\ai_systems\bug,Python,Metadata Only,,Plugin,
BurpExtender,plugins\ai_systems\BurpExtender,Python,Metadata Only,,Plugin,
BurpExtender1,plugins\ai_systems\BurpExtender1,Python,Metadata Only,,Plugin,
c2_hitl_bridge,plugins\ai_systems\c2_hitl_bridge,Python,Metadata Only,,Plugin,
CLAUDE,plugins\ai_systems\CLAUDE,Python,Metadata Only,,Plugin,
claude_reasoning_roundtrip,plugins\ai_systems\claude_reasoning_roundtrip,Python,Metadata Only,,Plugin,
claude_reasoning_roundtrip_test,plugins\ai_systems\claude_reasoning_roundtrip_test,Python,Metadata Only,,Plugin,
cleanup-rollback,plugins\ai_systems\cleanup-rollback,Python,Metadata Only,,Plugin,
client,plugins\ai_systems\client,Python,Metadata Only,,Plugin,
cmdi-agent,plugins\ai_systems\cmdi-agent,Python,Metadata Only,,Plugin,
config,plugins\ai_systems\config,Python,Metadata Only,,Plugin,
config_3,plugins\ai_systems\config_3,Python,Metadata Only,,Plugin,
content,plugins\ai_systems\content,Python,Metadata Only,,Plugin,
controller,plugins\ai_systems\controller,Python,Metadata Only,,Plugin,
corpus,plugins\ai_systems\corpus,Python,Metadata Only,,Plugin,
cost,plugins\ai_systems\cost,Python,Metadata Only,,Plugin,
createdFiles,plugins\ai_systems\createdFiles,Python,Metadata Only,,Plugin,
CTF,plugins\ai_systems\CTF,Python,Metadata Only,,Plugin,
cyberstrikeai-burp-extension-100,plugins\ai_systems\cyberstrikeai-burp-extension-100,Python,Metadata Only,,Plugin,
CyberStrikeAIClientConfig,plugins\ai_systems\CyberStrikeAIClientConfig,Python,Metadata Only,,Plugin,
CyberStrikeAITabTestRun,plugins\ai_systems\CyberStrikeAITabTestRun,Python,Metadata Only,,Plugin,
CyberStrikeAITabTestRunCellRenderer,plugins\ai_systems\CyberStrikeAITabTestRunCellRenderer,Python,Metadata Only,,Plugin,
dashboard,plugins\ai_systems\dashboard,Python,Metadata Only,,Plugin,
default,plugins\ai_systems\default,Python,Metadata Only,,Plugin,
default_1,plugins\ai_systems\default_1,Python,Metadata Only,,Plugin,
dependency_graph,plugins\ai_systems\dependency_graph,Python,Metadata Only,,Plugin,
detector,plugins\ai_systems\detector,Python,Metadata Only,,Plugin,
development,plugins\ai_systems\development,Python,Metadata Only,,Plugin,
eino_checkpoint,plugins\ai_systems\eino_checkpoint,Python,Metadata Only,,Plugin,
eino_execute_monitor,plugins\ai_systems\eino_execute_monitor,Python,Metadata Only,,Plugin,
eino_execute_streaming_wrap,plugins\ai_systems\eino_execute_streaming_wrap,Python,Metadata Only,,Plugin,
eino_exit_fallback_test,plugins\ai_systems\eino_exit_fallback_test,Python,Metadata Only,,Plugin,
eino_filesystem_tool_monitor,plugins\ai_systems\eino_filesystem_tool_monitor,Python,Metadata Only,,Plugin,
eino_input_telemetry,plugins\ai_systems\eino_input_telemetry,Python,Metadata Only,,Plugin,
eino_middleware,plugins\ai_systems\eino_middleware,Python,Metadata Only,,Plugin,
eino_middleware_test,plugins\ai_systems\eino_middleware_test,Python,Metadata Only,,Plugin,
eino_model_facing_trace,plugins\ai_systems\eino_model_facing_trace,Python,Metadata Only,,Plugin,
eino_model_rewrite_pipeline,plugins\ai_systems\eino_model_rewrite_pipeline,Python,Metadata Only,,Plugin,
eino_orchestration,plugins\ai_systems\eino_orchestration,Python,Metadata Only,,Plugin,
eino_resume_segment,plugins\ai_systems\eino_resume_segment,Python,Metadata Only,,Plugin,
eino_single_agent,plugins\ai_systems\eino_single_agent,Python,Metadata Only,,Plugin,
eino_skills,plugins\ai_systems\eino_skills,Python,Metadata Only,,Plugin,
eino_sse_sanitizer,plugins\ai_systems\eino_sse_sanitizer,Python,Metadata Only,,Plugin,
eino_sse_sanitizer_test,plugins\ai_systems\eino_sse_sanitizer_test,Python,Metadata Only,,Plugin,
eino_summarize,plugins\ai_systems\eino_summarize,Python,Metadata Only,,Plugin,
eino_summarize_test,plugins\ai_systems\eino_summarize_test,Python,Metadata Only,,Plugin,
engagement-planning,plugins\ai_systems\engagement-planning,Python,Metadata Only,,Plugin,
EQBSL-Primer,plugins\ai_systems\EQBSL-Primer,Python,Metadata Only,,Plugin,
events,plugins\ai_systems\events,Python,Metadata Only,,Plugin,
events_1,plugins\ai_systems\events_1,Python,Metadata Only,,Plugin,
EvidenceCommand,plugins\ai_systems\EvidenceCommand,Python,Metadata Only,,Plugin,
eyewitness,plugins\ai_systems\eyewitness,Python,Metadata Only,,Plugin,
feature,plugins\ai_systems\feature,Python,Metadata Only,,Plugin,
feature_2,plugins\ai_systems\feature_2,Python,Metadata Only,,Plugin,
formatting,plugins\ai_systems\formatting,Python,Metadata Only,,Plugin,
frontmatter,plugins\ai_systems\frontmatter,Python,Metadata Only,,Plugin,
