Repository Name,Repository Location,Source Code Present,Documentation Present,Tests Present,Configs Present,Assets Present
activity_feed,plugins\ai_systems\activity_feed,No,No,No,No,No
ad_agent,plugins\ai_systems\ad_agent,No,No,No,No,No
agent_1,plugins\ai_systems\agent_1,No,No,No,No,No
agent_trace,plugins\ai_systems\agent_trace,No,No,No,No,No
agent_trace_test,plugins\ai_systems\agent_trace_test,No,No,No,No,No
app_3,plugins\ai_systems\app_3,No,No,No,No,No
attach,plugins\ai_systems\attach,No,No,No,No,No
attach_test,plugins\ai_systems\attach_test,No,No,No,No,No
audit,plugins\ai_systems\audit,No,No,No,No,No
audit-logger,plugins\ai_systems\audit-logger,No,No,No,No,No
audit-session,plugins\ai_systems\audit-session,No,No,No,No,No
base-agent,plugins\ai_systems\base-agent,No,No,No,No,No
base_1,plugins\ai_systems\base_1,No,No,No,No,No
base_tool,plugins\ai_systems\base_tool,No,No,No,No,No
batch_task,plugins\ai_systems\batch_task,No,No,No,No,No
batch_task_manager,plugins\ai_systems\batch_task_manager,No,No,No,No,No
batch_task_mcp,plugins\ai_systems\batch_task_mcp,No,No,No,No,No
beacongo,plugins\ai_systems\beacongo,No,No,No,No,No
bug,plugins\ai_systems\bug,No,No,No,No,No
BurpExtender,plugins\ai_systems\BurpExtender,No,No,No,No,No
BurpExtender1,plugins\ai_systems\BurpExtender1,No,No,No,No,No
c2_hitl_bridge,plugins\ai_systems\c2_hitl_bridge,No,No,No,No,No
CLAUDE,plugins\ai_systems\CLAUDE,No,No,No,No,No
claude_reasoning_roundtrip,plugins\ai_systems\claude_reasoning_roundtrip,No,No,No,No,No
claude_reasoning_roundtrip_test,plugins\ai_systems\claude_reasoning_roundtrip_test,No,No,No,No,No
cleanup-rollback,plugins\ai_systems\cleanup-rollback,No,No,No,No,No
client,plugins\ai_systems\client,No,No,No,No,No
cmdi-agent,plugins\ai_systems\cmdi-agent,No,No,No,No,No
config,plugins\ai_systems\config,No,Yes,No,No,No
config_3,plugins\ai_systems\config_3,No,Yes,No,No,No
content,plugins\ai_systems\content,No,No,No,No,No
controller,plugins\ai_systems\controller,No,No,No,No,No
corpus,plugins\ai_systems\corpus,No,No,No,No,No
cost,plugins\ai_systems\cost,No,No,No,No,No
createdFiles,plugins\ai_systems\createdFiles,No,No,No,No,No
CTF,plugins\ai_systems\CTF,No,No,No,No,No
cyberstrikeai-burp-extension-100,plugins\ai_systems\cyberstrikeai-burp-extension-100,No,No,No,No,No
CyberStrikeAIClientConfig,plugins\ai_systems\CyberStrikeAIClientConfig,No,No,No,No,No
CyberStrikeAITabTestRun,plugins\ai_systems\CyberStrikeAITabTestRun,No,No,No,No,No
CyberStrikeAITabTestRunCellRenderer,plugins\ai_systems\CyberStrikeAITabTestRunCellRenderer,No,No,No,No,No
dashboard,plugins\ai_systems\dashboard,No,Yes,No,No,No
default,plugins\ai_systems\default,No,No,No,No,No
default_1,plugins\ai_systems\default_1,No,No,No,No,No
dependency_graph,plugins\ai_systems\dependency_graph,No,No,No,No,No
detector,plugins\ai_systems\detector,No,No,No,No,No
development,plugins\ai_systems\development,No,No,No,No,No
eino_checkpoint,plugins\ai_systems\eino_checkpoint,No,No,No,No,No
eino_execute_monitor,plugins\ai_systems\eino_execute_monitor,No,No,No,No,No
eino_execute_streaming_wrap,plugins\ai_systems\eino_execute_streaming_wrap,No,No,No,No,No
eino_exit_fallback_test,plugins\ai_systems\eino_exit_fallback_test,No,No,No,No,No
eino_filesystem_tool_monitor,plugins\ai_systems\eino_filesystem_tool_monitor,No,No,No,No,No
eino_input_telemetry,plugins\ai_systems\eino_input_telemetry,No,No,No,No,No
eino_middleware,plugins\ai_systems\eino_middleware,No,No,No,No,No
eino_middleware_test,plugins\ai_systems\eino_middleware_test,No,No,No,No,No
eino_model_facing_trace,plugins\ai_systems\eino_model_facing_trace,No,No,No,No,No
eino_model_rewrite_pipeline,plugins\ai_systems\eino_model_rewrite_pipeline,No,No,No,No,No
eino_orchestration,plugins\ai_systems\eino_orchestration,No,No,No,No,No
eino_resume_segment,plugins\ai_systems\eino_resume_segment,No,No,No,No,No
eino_single_agent,plugins\ai_systems\eino_single_agent,No,No,No,No,No
eino_skills,plugins\ai_systems\eino_skills,No,No,No,No,No
eino_sse_sanitizer,plugins\ai_systems\eino_sse_sanitizer,No,No,No,No,No
eino_sse_sanitizer_test,plugins\ai_systems\eino_sse_sanitizer_test,No,No,No,No,No
eino_summarize,plugins\ai_systems\eino_summarize,No,No,No,No,No
eino_summarize_test,plugins\ai_systems\eino_summarize_test,No,No,No,No,No
engagement-planning,plugins\ai_systems\engagement-planning,No,No,No,No,No
EQBSL-Primer,plugins\ai_systems\EQBSL-Primer,No,No,No,No,No
events,plugins\ai_systems\events,No,Yes,No,Yes,No
events_1,plugins\ai_systems\events_1,No,No,No,No,No
EvidenceCommand,plugins\ai_systems\EvidenceCommand,No,No,No,No,No
eyewitness,plugins\ai_systems\eyewitness,No,No,No,No,No
feature,plugins\ai_systems\feature,No,No,No,No,No
