Repository,Recon Value,Bug Bounty Value,Enterprise Value,Research Value,Maintenance Cost
activity_feed,1,1,1,1,9
ad_agent,1,1,1,1,9
agent_1,1,1,1,1,9
agent_trace,1,1,1,1,9
agent_trace_test,1,1,1,1,9
app_3,1,1,1,1,9
attach,1,1,1,1,9
attach_test,1,1,1,1,9
audit,1,1,1,1,9
audit-logger,1,1,1,1,9
audit-session,1,1,1,1,9
base-agent,1,1,1,1,9
base_1,1,1,1,1,9
base_tool,1,1,1,1,9
batch_task,1,1,1,1,9
batch_task_manager,1,1,1,1,9
batch_task_mcp,1,1,1,1,9
beacongo,1,1,1,1,9
bug,1,1,1,1,9
BurpExtender,1,1,1,1,9
BurpExtender1,1,1,1,1,9
c2_hitl_bridge,1,1,1,1,9
CLAUDE,1,1,1,1,9
claude_reasoning_roundtrip,1,1,1,1,9
claude_reasoning_roundtrip_test,1,1,1,1,9
cleanup-rollback,1,1,1,1,9
client,1,1,1,1,9
cmdi-agent,1,1,1,1,9
config,1,1,1,1,9
config_3,1,1,1,1,9
content,1,1,1,1,9
controller,1,1,1,1,9
corpus,1,1,1,1,9
cost,1,1,1,1,9
createdFiles,1,1,1,1,9
CTF,1,1,1,1,9
cyberstrikeai-burp-extension-100,1,1,1,1,9
CyberStrikeAIClientConfig,1,1,1,1,9
CyberStrikeAITabTestRun,1,1,1,1,9
CyberStrikeAITabTestRunCellRenderer,1,1,1,1,9
dashboard,1,1,1,1,9
default,1,1,1,1,9
default_1,1,1,1,1,9
dependency_graph,1,1,1,1,9
detector,1,1,1,1,9
development,1,1,1,1,9
eino_checkpoint,1,1,1,1,9
eino_execute_monitor,1,1,1,1,9
eino_execute_streaming_wrap,1,1,1,1,9
eino_exit_fallback_test,1,1,1,1,9
eino_filesystem_tool_monitor,1,1,1,1,9
eino_input_telemetry,1,1,1,1,9
eino_middleware,1,1,1,1,9
eino_middleware_test,1,1,1,1,9
eino_model_facing_trace,1,1,1,1,9
eino_model_rewrite_pipeline,1,1,1,1,9
eino_orchestration,1,1,1,1,9
eino_resume_segment,1,1,1,1,9
eino_single_agent,1,1,1,1,9
eino_skills,1,1,1,1,9
eino_sse_sanitizer,1,1,1,1,9
eino_sse_sanitizer_test,1,1,1,1,9
eino_summarize,1,1,1,1,9
eino_summarize_test,1,1,1,1,9
engagement-planning,1,1,1,1,9
EQBSL-Primer,1,1,1,1,9
events,3,3,1,3,7
events_1,1,1,1,1,9
EvidenceCommand,1,1,1,1,9
eyewitness,1,1,1,1,9
feature,1,1,1,1,9
feature_2,1,1,1,1,9
formatting,1,1,1,1,9
frontmatter,1,1,1,1,9
generate-totp,1,1,1,1,9
git-manager,1,1,1,1,9
ground-truth-agent,1,1,1,1,9
group,1,1,1,1,9
hitl_context,1,1,1,1,9
hitl_middleware,1,1,1,1,9
holder,1,1,1,1,9
HttpMessageFormatter,1,1,1,1,9
impact-exfiltration,1,1,1,1,9
index,1,1,1,1,9
index_12,1,1,1,1,9
index_3,1,1,1,1,9
index_4,3,3,1,3,7
index_9,1,1,1,1,9
install_preferences,1,1,1,1,9
interrupt,1,1,1,1,9
lateral-movement,1,1,1,1,9
layout,1,1,1,1,9
listener_tcp,1,1,1,1,9
log-stream,1,1,1,1,9
logger,1,1,1,1,9
logger_1,1,1,1,1,9
