File,Tool,Implementation Status,Missing Components
plugins\cloud\404StarLinkLogo\plugin.py,404StarLinkLogo,Partially implemented,pass
plugins\cloud\agent-management\plugin.py,agent-management,Partially implemented,pass
plugins\cloud\agents-for\plugin.py,agents-for,Partially implemented,pass
plugins\cloud\ai_analysis\plugin.py,ai_analysis,Partially implemented,pass
plugins\cloud\alterations\plugin.py,alterations,Partially implemented,pass
plugins\cloud\announcements\plugin.py,announcements,Partially implemented,pass
plugins\cloud\AUP\plugin.py,AUP,Partially implemented,pass
plugins\cloud\auth_profiles\plugin.py,auth_profiles,Partially implemented,pass
plugins\cloud\aws\plugin.py,aws,Partially implemented,pass
plugins\cloud\aws_recon\plugin.py,aws_recon,Partially implemented,pass
plugins\cloud\aws_sm\plugin.py,aws_sm,Partially implemented,pass
plugins\cloud\azure\plugin.py,azure,Partially implemented,pass
plugins\cloud\azure_recon\plugin.py,azure_recon,Partially implemented,pass
plugins\cloud\banner_2\plugin.py,banner_2,Partially implemented,pass
plugins\cloud\benchmark_runner\plugin.py,benchmark_runner,Partially implemented,pass
plugins\cloud\bizlogic-hunter\plugin.py,bizlogic-hunter,Partially implemented,pass
plugins\cloud\bucket_correlator\plugin.py,bucket_correlator,Partially implemented,pass
plugins\cloud\bug_report\plugin.py,bug_report,Partially implemented,pass
plugins\cloud\ccr-config-template\plugin.py,ccr-config-template,Partially implemented,pass
plugins\cloud\chat\plugin.py,chat,Partially implemented,pass
plugins\cloud\chatgpt_config_curl\plugin.py,chatgpt_config_curl,Partially implemented,pass
plugins\cloud\ChatGPT_key\plugin.py,ChatGPT_key,Partially implemented,pass
plugins\cloud\checkov\plugin.py,checkov,Partially implemented,pass
plugins\cloud\ci_1\plugin.py,ci_1,Partially implemented,pass
plugins\cloud\ci_cd_cloud\plugin.py,ci_cd_cloud,Partially implemented,pass
plugins\cloud\ci_cd_cloud_mapper\plugin.py,ci_cd_cloud_mapper,Partially implemented,pass
plugins\cloud\claude-executor\plugin.py,claude-executor,Partially implemented,pass
plugins\cloud\CLAUDE_2\plugin.py,CLAUDE_2,Partially implemented,pass
plugins\cloud\CLAUDE_3\plugin.py,CLAUDE_3,Partially implemented,pass
plugins\cloud\clear\plugin.py,clear,Partially implemented,pass
plugins\cloud\cli\plugin.py,cli,Partially implemented,pass
plugins\cloud\cloud-security\plugin.py,cloud-security,Partially implemented,pass
plugins\cloud\cloudfront_mapper\plugin.py,cloudfront_mapper,Partially implemented,pass
plugins\cloud\cloudmapper\plugin.py,cloudmapper,Partially implemented,pass
plugins\cloud\cloud_agent\plugin.py,cloud_agent,Partially implemented,pass
plugins\cloud\cloud_attack_surface\plugin.py,cloud_attack_surface,Partially implemented,pass
plugins\cloud\cloud_enum\plugin.py,cloud_enum,Partially implemented,pass
plugins\cloud\cloud_fingerprint\plugin.py,cloud_fingerprint,Partially implemented,pass
plugins\cloud\cloud_models\plugin.py,cloud_models,Partially implemented,pass
plugins\cloud\cloud_pipeline\plugin.py,cloud_pipeline,Partially implemented,pass
plugins\cloud\cloud_storage\plugin.py,cloud_storage,Partially implemented,pass
plugins\cloud\conftest_2\plugin.py,conftest_2,Partially implemented,pass
plugins\cloud\container-breakout\plugin.py,container-breakout,Partially implemented,pass
plugins\cloud\CUSTOMIZATION\plugin.py,CUSTOMIZATION,Partially implemented,pass
plugins\cloud\CyberStrikeAITab\plugin.py,CyberStrikeAITab,Partially implemented,pass
plugins\cloud\dec-2025\plugin.py,dec-2025,Partially implemented,pass
plugins\cloud\demo\plugin.py,demo,Partially implemented,pass
plugins\cloud\demo_1\plugin.py,demo_1,Partially implemented,pass
plugins\cloud\dependabot_3\plugin.py,dependabot_3,Partially implemented,pass
plugins\cloud\devcontainer\plugin.py,devcontainer,Partially implemented,pass
plugins\cloud\DISCLAIMER\plugin.py,DISCLAIMER,Partially implemented,pass
plugins\cloud\docker\plugin.py,docker,Partially implemented,pass
plugins\cloud\docker-compose\plugin.py,docker-compose,Partially implemented,pass
plugins\cloud\docker-compose_1\plugin.py,docker-compose_1,Partially implemented,pass
plugins\cloud\docker-compose_2\plugin.py,docker-compose_2,Partially implemented,pass
plugins\cloud\docker-compose_3\plugin.py,docker-compose_3,Partially implemented,pass
plugins\cloud\Dockerfile_4\plugin.py,Dockerfile_4,Partially implemented,pass
plugins\cloud\Dockerfile_7\plugin.py,Dockerfile_7,Partially implemented,pass
plugins\cloud\Dockerfile_9\plugin.py,Dockerfile_9,Partially implemented,pass
plugins\cloud\docker_2\plugin.py,docker_2,Partially implemented,pass
plugins\cloud\docker_manager\plugin.py,docker_manager,Partially implemented,pass
plugins\cloud\docker_nightly\plugin.py,docker_nightly,Partially implemented,pass
plugins\cloud\docker_registry_analyzer\plugin.py,docker_registry_analyzer,Partially implemented,pass
plugins\cloud\domains\plugin.py,domains,Partially implemented,pass
plugins\cloud\embedder\plugin.py,embedder,Partially implemented,pass
plugins\cloud\engagement-planner\plugin.py,engagement-planner,Partially implemented,pass
plugins\cloud\entrypoint\plugin.py,entrypoint,Partially implemented,pass
plugins\cloud\env\plugin.py,env,Partially implemented,pass
plugins\cloud\env_3\plugin.py,env_3,Partially implemented,pass
plugins\cloud\example-stig-finding\plugin.py,example-stig-finding,Partially implemented,pass
plugins\cloud\executor_test\plugin.py,executor_test,Partially implemented,pass
plugins\cloud\exploit-auth\plugin.py,exploit-auth,Partially implemented,pass
plugins\cloud\exploit-authz\plugin.py,exploit-authz,Partially implemented,pass
plugins\cloud\exploit-authz_2\plugin.py,exploit-authz_2,Partially implemented,pass
plugins\cloud\exploit-auth_2\plugin.py,exploit-auth_2,Partially implemented,pass
plugins\cloud\exploit-injection\plugin.py,exploit-injection,Partially implemented,pass
plugins\cloud\exploit-xss\plugin.py,exploit-xss,Partially implemented,pass
plugins\cloud\exploit-xss_2\plugin.py,exploit-xss_2,Partially implemented,pass
plugins\cloud\export_menu\plugin.py,export_menu,Partially implemented,pass
plugins\cloud\factory\plugin.py,factory,Partially implemented,pass
plugins\cloud\fill-legal\plugin.py,fill-legal,Partially implemented,pass
plugins\cloud\fingerprinter\plugin.py,fingerprinter,Partially implemented,pass
plugins\cloud\fingerprintertest\plugin.py,fingerprintertest,Partially implemented,pass
plugins\cloud\fix-workspace-permissions\plugin.py,fix-workspace-permissions,Partially implemented,pass
plugins\cloud\gcp\plugin.py,gcp,Partially implemented,pass
plugins\cloud\gcp_recon\plugin.py,gcp_recon,Partially implemented,pass
plugins\cloud\github-banner\plugin.py,github-banner,Partially implemented,pass
plugins\cloud\gitleaks\plugin.py,gitleaks,Partially implemented,pass
plugins\cloud\go_2\plugin.py,go_2,Partially implemented,pass
plugins\cloud\graphw00f\plugin.py,graphw00f,Partially implemented,pass
plugins\cloud\hexstrike-logo\plugin.py,hexstrike-logo,Partially implemented,pass
plugins\cloud\home\plugin.py,home,Partially implemented,pass
plugins\cloud\index_5\plugin.py,index_5,Partially implemented,pass
plugins\cloud\javascript\plugin.py,javascript,Partially implemented,pass
plugins\cloud\js-harvester-agent\plugin.py,js-harvester-agent,Partially implemented,pass
plugins\cloud\kube-bench\plugin.py,kube-bench,Partially implemented,pass
plugins\cloud\kube-hunter\plugin.py,kube-hunter,Partially implemented,pass
plugins\cloud\kubernetes\plugin.py,kubernetes,Partially implemented,pass
plugins\cloud\launch-config\plugin.py,launch-config,Partially implemented,pass
plugins\cloud\leaksapi-banner\plugin.py,leaksapi-banner,Partially implemented,pass
plugins\cloud\leaksapi-logo\plugin.py,leaksapi-logo,Partially implemented,pass
plugins\cloud\LICENSE_5\plugin.py,LICENSE_5,Partially implemented,pass
plugins\cloud\litellm_provider\plugin.py,litellm_provider,Partially implemented,pass
plugins\cloud\logo_3\plugin.py,logo_3,Partially implemented,pass
plugins\cloud\main_13\plugin.py,main_13,Partially implemented,pass
plugins\cloud\main_menu\plugin.py,main_menu,Partially implemented,pass
plugins\cloud\Makefile\plugin.py,Makefile,Partially implemented,pass
plugins\cloud\mindmap_obsidian\plugin.py,mindmap_obsidian,Partially implemented,pass
plugins\cloud\misconfig-detector\plugin.py,misconfig-detector,Partially implemented,pass
plugins\cloud\misconfigtest\plugin.py,misconfigtest,Partially implemented,pass
plugins\cloud\mobile-pentester\plugin.py,mobile-pentester,Partially implemented,pass
plugins\cloud\mode\plugin.py,mode,Partially implemented,pass
plugins\cloud\orchestrator\plugin.py,orchestrator,Partially implemented,pass
plugins\cloud\outputs\plugin.py,outputs,Partially implemented,pass
plugins\cloud\package_3\plugin.py,package_3,Partially implemented,pass
plugins\cloud\pacu\plugin.py,pacu,Partially implemented,pass
plugins\cloud\pentestgpt_executor\plugin.py,pentestgpt_executor,Partially implemented,pass
plugins\cloud\PentestGPT_Hackable2\plugin.py,PentestGPT_Hackable2,Partially implemented,pass
plugins\cloud\plugins\plugin.py,plugins,Partially implemented,pass
plugins\cloud\pnpm-lock\plugin.py,pnpm-lock,Partially implemented,pass
plugins\cloud\poc-validator\plugin.py,poc-validator,Partially implemented,pass
plugins\cloud\pre-recon-code\plugin.py,pre-recon-code,Partially implemented,pass
plugins\cloud\privesc-advisor\plugin.py,privesc-advisor,Partially implemented,pass
plugins\cloud\privesc_agent\plugin.py,privesc_agent,Partially implemented,pass
plugins\cloud\prowler\plugin.py,prowler,Partially implemented,pass
plugins\cloud\pyproject_3\plugin.py,pyproject_3,Partially implemented,pass
plugins\cloud\quick-start\plugin.py,quick-start,Partially implemented,pass
plugins\cloud\README_21\plugin.py,README_21,Partially implemented,pass
plugins\cloud\README_22\plugin.py,README_22,Partially implemented,pass
plugins\cloud\README_28\plugin.py,README_28,Partially implemented,pass
plugins\cloud\README_29\plugin.py,README_29,Partially implemented,pass
plugins\cloud\README_30\plugin.py,README_30,Partially implemented,pass
plugins\cloud\reconcloud\plugin.py,reconcloud,Partially implemented,pass
plugins\cloud\reconx\plugin.py,reconx,Partially implemented,pass
plugins\cloud\release-beta\plugin.py,release-beta,Partially implemented,pass
plugins\cloud\release_1\plugin.py,release_1,Partially implemented,pass
plugins\cloud\requirements_7\plugin.py,requirements_7,Partially implemented,pass
plugins\cloud\resolver\plugin.py,resolver,Partially implemented,pass
plugins\cloud\results\plugin.py,results,Partially implemented,pass
plugins\cloud\role-management\plugin.py,role-management,Partially implemented,pass
plugins\cloud\rollback\plugin.py,rollback,Partially implemented,pass
plugins\cloud\rsecloud\plugin.py,rsecloud,Partially implemented,pass
plugins\cloud\s3scanner\plugin.py,s3scanner,Partially implemented,pass
plugins\cloud\s3_scanner\plugin.py,s3_scanner,Partially implemented,pass
plugins\cloud\sarif\plugin.py,sarif,Partially implemented,pass
plugins\cloud\scan_pipeline\plugin.py,scan_pipeline,Partially implemented,pass
plugins\cloud\scan_running\plugin.py,scan_running,Partially implemented,pass
plugins\cloud\scout-suite\plugin.py,scout-suite,Partially implemented,pass
plugins\cloud\Screenshot2\plugin.py,Screenshot2,Partially implemented,pass
plugins\cloud\Screenshot3\plugin.py,Screenshot3,Partially implemented,pass
plugins\cloud\Screenshot4\plugin.py,Screenshot4,Partially implemented,pass
plugins\cloud\secret-scanner-agent\plugin.py,secret-scanner-agent,Partially implemented,pass
plugins\cloud\secure_credential\plugin.py,secure_credential,Partially implemented,pass
plugins\cloud\security\plugin.py,security,Partially implemented,pass
plugins\cloud\SECURITY_3\plugin.py,SECURITY_3,Partially implemented,pass
plugins\cloud\selection_agent\plugin.py,selection_agent,Partially implemented,pass
plugins\cloud\server_mcp_pentest_18\plugin.py,server_mcp_pentest_18,Partially implemented,pass
plugins\cloud\service_analyzer\plugin.py,service_analyzer,Partially implemented,pass
plugins\cloud\service_correlator_1\plugin.py,service_correlator_1,Partially implemented,pass
plugins\cloud\settings_2\plugin.py,settings_2,Partially implemented,pass
plugins\cloud\setup\plugin.py,setup,Partially implemented,pass
plugins\cloud\setup_1\plugin.py,setup_1,Partially implemented,pass
plugins\cloud\shannon-banner\plugin.py,shannon-banner,Partially implemented,pass
plugins\cloud\SHANNON-PRO_1\plugin.py,SHANNON-PRO_1,Partially implemented,pass
plugins\cloud\shannon-report-capital-api\plugin.py,shannon-report-capital-api,Partially implemented,pass
plugins\cloud\shannon-screen\plugin.py,shannon-screen,Partially implemented,pass
plugins\cloud\shodan\plugin.py,shodan,Partially implemented,pass
plugins\cloud\six2dez_reconftw-stars-history\plugin.py,six2dez_reconftw-stars-history,Partially implemented,pass
plugins\cloud\SKILL_1\plugin.py,SKILL_1,Partially implemented,pass
plugins\cloud\SKILL_14\plugin.py,SKILL_14,Partially implemented,pass
plugins\cloud\SKILL_16\plugin.py,SKILL_16,Partially implemented,pass
plugins\cloud\SKILL_17\plugin.py,SKILL_17,Partially implemented,pass
plugins\cloud\SKILL_4\plugin.py,SKILL_4,Partially implemented,pass
plugins\cloud\social-engineer\plugin.py,social-engineer,Partially implemented,pass
plugins\cloud\sponsor-wechat-alipay-qr\plugin.py,sponsor-wechat-alipay-qr,Partially implemented,pass
plugins\cloud\ssrf_cloud_metadata\plugin.py,ssrf_cloud_metadata,Partially implemented,pass
plugins\cloud\ssrf_payloads\plugin.py,ssrf_payloads,Partially implemented,pass
plugins\cloud\stop\plugin.py,stop,Partially implemented,pass
plugins\cloud\tch\plugin.py,tch,Partially implemented,pass
plugins\cloud\tcp_beacon_server\plugin.py,tcp_beacon_server,Partially implemented,pass
plugins\cloud\teardown\plugin.py,teardown,Partially implemented,pass
plugins\cloud\techdetect\plugin.py,techdetect,Partially implemented,pass
plugins\cloud\terraform-reconFTW\plugin.py,terraform-reconFTW,Partially implemented,pass
plugins\cloud\test_ad_agent_e2e_smoke\plugin.py,test_ad_agent_e2e_smoke,Partially implemented,pass
plugins\cloud\test_agents\plugin.py,test_agents,Partially implemented,pass
plugins\cloud\test_benchmark_cli\plugin.py,test_benchmark_cli,Partially implemented,pass
plugins\cloud\test_chain_context_discriminator\plugin.py,test_chain_context_discriminator,Partially implemented,pass
plugins\cloud\test_cli_menu\plugin.py,test_cli_menu,Partially implemented,pass
plugins\cloud\test_cloud_agent_e2e_smoke\plugin.py,test_cloud_agent_e2e_smoke,Partially implemented,pass
plugins\cloud\test_container_health\plugin.py,test_container_health,Partially implemented,pass
plugins\cloud\test_docker_build\plugin.py,test_docker_build,Partially implemented,pass
plugins\cloud\test_flag_detection\plugin.py,test_flag_detection,Partially implemented,pass
plugins\cloud\test_litellm_provider\plugin.py,test_litellm_provider,Partially implemented,pass
plugins\cloud\test_misc_coverage_2\plugin.py,test_misc_coverage_2,Partially implemented,pass
plugins\cloud\test_probe_ssrf_cloud_metadata\plugin.py,test_probe_ssrf_cloud_metadata,Partially implemented,pass
plugins\cloud\test_providers_and_small_agents\plugin.py,test_providers_and_small_agents,Partially implemented,pass
plugins\cloud\test_selection_agent\plugin.py,test_selection_agent,Partially implemented,pass
plugins\cloud\trufflehog\plugin.py,trufflehog,Partially implemented,pass
plugins\cloud\type_confusion\plugin.py,type_confusion,Partially implemented,pass
plugins\cloud\uninstall\plugin.py,uninstall,Partially implemented,pass
plugins\cloud\USAGE\plugin.py,USAGE,Partially implemented,pass
plugins\cloud\usage_input\plugin.py,usage_input,Partially implemented,pass
plugins\cloud\usage_output\plugin.py,usage_output,Partially implemented,pass
plugins\cloud\usage_server1\plugin.py,usage_server1,Partially implemented,pass
plugins\cloud\usage_server2\plugin.py,usage_server2,Partially implemented,pass
plugins\cloud\variables\plugin.py,variables,Partially implemented,pass
plugins\cloud\vectorDB\plugin.py,vectorDB,Partially implemented,pass
plugins\cloud\vuln-auth\plugin.py,vuln-auth,Partially implemented,pass
plugins\cloud\vuln-authz\plugin.py,vuln-authz,Partially implemented,pass
plugins\cloud\vuln-authz_2\plugin.py,vuln-authz_2,Partially implemented,pass
plugins\cloud\vuln-auth_2\plugin.py,vuln-auth_2,Partially implemented,pass
plugins\cloud\vuln-injection\plugin.py,vuln-injection,Partially implemented,pass
plugins\cloud\vuln-injection_2\plugin.py,vuln-injection_2,Partially implemented,pass
plugins\cloud\vuln-xss\plugin.py,vuln-xss,Partially implemented,pass
plugins\cloud\vuln-xss_2\plugin.py,vuln-xss_2,Partially implemented,pass
plugins\cloud\vulnerability-management\plugin.py,vulnerability-management,Partially implemented,pass
plugins\cloud\waf-detector-agent\plugin.py,waf-detector-agent,Partially implemented,pass
plugins\cloud\wafw00f\plugin.py,wafw00f,Partially implemented,pass
plugins\cloud\web-console\plugin.py,web-console,Partially implemented,pass
plugins\cloud\wechat-group-cyberstrikeai-qr\plugin.py,wechat-group-cyberstrikeai-qr,Partially implemented,pass
plugins\cloud\workflow_center\plugin.py,workflow_center,Partially implemented,pass
plugins\cloud\workspaces\plugin.py,workspaces,Partially implemented,pass
plugins\cloud\zh-CN\plugin.py,zh-CN,Partially implemented,pass
plugins\cloud\_10\plugin.py,_10,Partially implemented,pass
plugins\cloud\__init___119\plugin.py,__init___119,Partially implemented,pass
plugins\cloud\__init___26\plugin.py,__init___26,Partially implemented,pass
plugins\cloud\__init___78\plugin.py,__init___78,Partially implemented,pass
plugins\osint\auth_1\plugin.py,auth_1,Partially implemented,pass
plugins\osint\backfill-arch-data\plugin.py,backfill-arch-data,Partially implemented,pass
plugins\osint\conftest_1\plugin.py,conftest_1,Partially implemented,pass
plugins\osint\contacts\plugin.py,contacts,Fully implemented,
plugins\osint\COOKIES\plugin.py,COOKIES,Partially implemented,pass
plugins\osint\credential_tester_agent\plugin.py,credential_tester_agent,Partially implemented,pass
plugins\osint\crtsh\plugin.py,crtsh,Fully implemented,
plugins\osint\email-osint-agent\plugin.py,email-osint-agent,Partially implemented,pass
plugins\osint\environment\plugin.py,environment,Partially implemented,pass
plugins\osint\holehe\plugin.py,holehe,Partially implemented,pass
plugins\osint\intel-collection\plugin.py,intel-collection,Partially implemented,pass
plugins\osint\metadata\plugin.py,metadata,Fully implemented,
plugins\osint\osint\plugin.py,osint,Partially implemented,pass
plugins\osint\osint-collector\plugin.py,osint-collector,Partially implemented,pass
plugins\osint\parsers_1\plugin.py,parsers_1,Partially implemented,pass
plugins\osint\phoneinfoga\plugin.py,phoneinfoga,Partially implemented,pass
plugins\osint\privacy_detect\plugin.py,privacy_detect,Partially implemented,pass
plugins\osint\sdk\plugin.py,sdk,Partially implemented,pass
plugins\osint\smtp-user-enum\plugin.py,smtp-user-enum,Partially implemented,pass
plugins\osint\social_engineer_agent\plugin.py,social_engineer_agent,Partially implemented,pass
plugins\osint\splash-screen\plugin.py,splash-screen,Partially implemented,pass
plugins\osint\test_osint_domain_info_msftrecon\plugin.py,test_osint_domain_info_msftrecon,Partially implemented,pass
plugins\osint\test_probe_password_reset_weak\plugin.py,test_probe_password_reset_weak,Partially implemented,pass
plugins\osint\validation\plugin.py,validation,Partially implemented,pass
plugins\osint\vulnscan\plugin.py,vulnscan,Partially implemented,pass
plugins\osint\whois_tool\plugin.py,whois_tool,Partially implemented,pass
